seed_album_id,artist_name,album_title,market_code,country_name,source_name,source_url,chart_name,chart_type,observation_date,entry_date,peak_position,weeks_on_chart,top10_flag,no1_flag,certification_level,certification_date,hit_year,hit_weight,manual_notes
metallica_load_1996,Metallica,Load,DEU,Germany,Offizielle Deutsche Charts,https://www.offiziellecharts.de/charts/album-details-2322,Offizielle Deutsche Album-Charts,albums,1996-06-17,1996-06-17,1,39,1,1,,,1996,,"Recovered manually from the official German chart result because the site blocks scripted requests in this environment."
sepultura_roots_1996,Sepultura,Roots,DEU,Germany,Offizielle Deutsche Charts,https://www.offiziellecharts.de/charts/album-details-2252,Offizielle Deutsche Album-Charts,albums,1996-03-04,1996-03-04,7,20,1,0,,,1996,,"Recovered manually from the official German chart result because the site blocks scripted requests in this environment."
iron_maiden_brave_new_world_2000,Iron Maiden,Brave New World,DEU,Germany,Offizielle Deutsche Charts,https://www.offiziellecharts.de/charts/album-details-3325,Offizielle Deutsche Album-Charts,albums,2000-06-12,2000-06-12,3,16,1,0,,,2000,,"Recovered manually from the official German chart result because the site blocks scripted requests in this environment."
rammstein_mutter_2001,Rammstein,Mutter,DEU,Germany,Offizielle Deutsche Charts,https://www.offiziellecharts.de/charts/album-details-3630,Offizielle Deutsche Album-Charts,albums,2001-04-16,2001-04-16,1,222,1,1,,,2001,,"Recovered manually from the official German chart result because the site blocks scripted requests in this environment."
nightwish_once_2004,Nightwish,Once,DEU,Germany,Offizielle Deutsche Charts,https://www.offiziellecharts.de/charts/album-details-5011,Offizielle Deutsche Album-Charts,albums,2004-06-21,2004-06-21,1,41,1,1,,,2004,,"Recovered manually from the official German chart result because the site blocks scripted requests in this environment."
children_of_bodom_are_you_dead_yet_2005,Children of Bodom,Are You Dead Yet?,DEU,Germany,Offizielle Deutsche Charts,https://www.offiziellecharts.de/details/album-details-23364,Offizielle Deutsche Album-Charts,albums,2005-10-03,2005-10-03,16,2,0,0,,,2005,,"Recovered manually from the official German chart result because the site blocks scripted requests in this environment."
metallica_death_magnetic_2008,Metallica,Death Magnetic,DEU,Germany,Offizielle Deutsche Charts,https://www.offiziellecharts.de/charts/album-details-96083,Offizielle Deutsche Album-Charts,albums,2008-09-26,2008-09-26,1,39,1,1,,,2008,,"Recovered manually from the official German chart result because the site blocks scripted requests in this environment."
sabaton_carolus_rex_2012,Sabaton,Carolus Rex,DEU,Germany,Offizielle Deutsche Charts,https://www.offiziellecharts.de/details/album-details-198193,Offizielle Deutsche Album-Charts,albums,2012-06-08,2012-06-08,7,6,1,0,,,2012,,"Recovered manually from the official German chart result because the site blocks scripted requests in this environment."
ghost_meliora_2015,Ghost,Meliora,DEU,Germany,Offizielle Deutsche Charts,https://www.offiziellecharts.de/charts/album-details-280999,Offizielle Deutsche Album-Charts,albums,2015-08-28,2015-08-28,19,4,0,0,,,2015,,"Recovered manually from the official German chart result because the site blocks scripted requests in this environment."
iron_maiden_the_book_of_souls_2015,Iron Maiden,The Book of Souls,DEU,Germany,Offizielle Deutsche Charts,https://www.offiziellecharts.de/charts/album/for-date-1442006230000,Offizielle Deutsche Top 100 Album-Charts,albums,2015-09-11,2015-09-11,1,,1,1,,,2015,,"Recovered manually from the official German weekly chart page because the direct album-detail page was not accessible in this environment; peak was visible but total weeks were not."
gojira_magma_2016,Gojira,Magma,DEU,Germany,Offizielle Deutsche Charts,https://www.offiziellecharts.de/charts/album-details-305962,Offizielle Deutsche Album-Charts,albums,2016-06-24,2016-06-24,14,2,0,0,,,2016,,"Recovered manually from the official German chart result because the site blocks scripted requests in this environment."
sabaton_the_last_stand_2016,Sabaton,The Last Stand,DEU,Germany,Offizielle Deutsche Charts,https://www.offiziellecharts.de/details/album-details-309338,Offizielle Deutsche Album-Charts,albums,2016-08-26,2016-08-26,2,9,1,0,,,2016,,"Recovered manually from the official German chart result because the site blocks scripted requests in this environment."
powerwolf_the_sacrament_of_sin_2018,Powerwolf,The Sacrament of Sin,DEU,Germany,Offizielle Deutsche Charts,https://www.offiziellecharts.de/charts/album-details-360997,Offizielle Deutsche Album-Charts,albums,2018-07-27,2018-07-27,1,13,1,1,,,2018,,"Recovered manually from the official German chart result because the site blocks scripted requests in this environment."
ghost_impera_2022,Ghost,Impera,DEU,Germany,Offizielle Deutsche Charts,https://www.offiziellecharts.de/charts/album-details-493581,Offizielle Deutsche Album-Charts,albums,2022-03-18,2022-03-18,1,10,1,1,,,2022,,"Recovered manually from the official German chart result because the site blocks scripted requests in this environment."
