"citation","verified_source","main_margin","business_cycle_pattern","core_takeaway","implication_for_this_project"
"Fairlie (2013)","IZA DP 5725 / JEMS","individual business entry","countercyclical entry via unemployment","Higher unemployment raises business creation probabilities, especially for those not initially employed.","Use as evidence for necessity-style recession entry rather than as evidence that employer startups strengthen in recessions."
"Fairlie and Fossen (2019)","NBER w26377 / local PDF","opportunity vs necessity entry","necessity countercyclical; opportunity procyclical","Business creation has two components with different cyclical behavior and different growth orientation.","Core conceptual bridge for separating own-account entry from growth-oriented startup creation."
"Fossen (2021)","IZA DP 12499","incorporated vs unincorporated entrepreneurship","unincorporated more countercyclical","Countercyclical entrepreneurship is concentrated in unemployment-driven and unincorporated entry.","Supports emphasizing the smallest-scale or zero-employee margin in the motivation data."
"Sedlacek and Sterk (2017)","AER / local PDF","startup employment and cohort quality","procyclical startup employment","Startup cohorts born in weak aggregate conditions are persistently smaller and less growth-oriented.","Motivation should track entrant size or scale, not just counts."
"Haltiwanger, Jarmin, and Miranda (2013)","NBER w16300","startup and young-firm job creation","startup job creation weakens in downturns","Young firms matter disproportionately for job creation, but startup-related job creation fell sharply in the Great Recession.","Do not equate more necessity entry with more job-creating firm formation."
"Fort, Haltiwanger, Jarmin, and Miranda (2013)","NBER w19134","age/size cyclical sensitivity","young and small firms more cycle-sensitive","Young and small firms were hit especially hard in the Great Recession.","Size-bin plotting is directly relevant for recession motivation."
"Fairlie and Miranda (2016)","NBER w22428","transition from nonemployer to employer","limited hiring from nonemployer entry","Most nonemployer startups do not hire, and hiring is concentrated among more growth-oriented cases.","A rise in zero-employee activity should not be read as a rise in employer startup creation."
"Zarutskie and Yang (2017)","NBER book chapter","young-firm performance in Great Recession","recession weakens growth and financing","Young firms saw weaker revenue, employment, asset growth, and tighter financing during the Great Recession.","The model should eventually speak to entrant quality or scale, not only extensive-margin entry."
"Hurst and Pugsley (2011)","local PDF","small-business motives and scale","many small firms are not high-growth","Most small businesses are local-service and lifestyle-oriented rather than innovation-driven high-growth startups.","Useful caution against overinterpreting all small-business entry as high-growth entrepreneurship."
"GEM United States Report (2024)","official GEM/Babson report","self-reported startup motives in the U.S.","job-scarcity motive rises even in a high-income country","Public motive data show that necessity-style startup motives remain quantitatively important in the United States.","Useful for the intro's identification framing, but motive labels should still be treated as noisy."
"Kelley, Singer, and Herrington (2016)","official GEM global report","cross-country motive composition","opportunity/necessity mix varies with development","Innovation-driven economies have a much higher opportunity-to-necessity mix than poorer country groups.","Supports the claim that motive composition varies across countries and should not be inferred from U.S. evidence alone."
"Chivers (2017)","JEBO / verified web listing","heterogeneous entrepreneurial aspirations","motive composition linked to development context","Cross-country evidence on entrepreneurial aspirations suggests that entry motives differ systematically with development.","Helpful supporting cite for opening the paper with motive heterogeneity rather than a single entrepreneurship margin."
