window,start_year,end_year,series,start_value,end_value,absolute_change,pct_change
2000-2002 recession window,2000,2002,establishments_0,16529955,17646062,1116107,6.752026850647819
2000-2002 recession window,2000,2002,establishments_1_4,3214522,3254581,40059,1.2461883913067018
2000-2002 recession window,2000,2002,establishments_5_19,2135238,2172992,37754,1.768140132388063
2000-2002 recession window,2000,2002,establishments_20_plus,951793,965043,13250,1.392109418749654
2000-2002 recession window,2000,2002,employer_total,6301553,6392616,91063,1.4450882187295733
2000-2002 recession window,2000,2002,establishments_all_bins,22831508,24038678,1207170,5.287298587548395
2007-2010 Great Recession window,2007,2010,establishments_0,21708021,22110628,402607,1.8546462618586945
2007-2010 Great Recession window,2007,2010,establishments_1_4,3567901,3439738,-128163,-3.5921120008654994
2007-2010 Great Recession window,2007,2010,establishments_5_19,2318985,2259412,-59573,-2.56892562910066
2007-2010 Great Recession window,2007,2010,establishments_20_plus,1030321,970359,-59962,-5.819739673363933
2007-2010 Great Recession window,2007,2010,employer_total,6917207,6669509,-247698,-3.5808961622805224
2007-2010 Great Recession window,2007,2010,establishments_all_bins,28625228,28780137,154909,0.541162501832293
2019-2022 pandemic window,2019,2022,establishments_0,27104006,29811495,2707489,9.989257676522056
2019-2022 pandemic window,2019,2022,establishments_1_4,3695731,3936648,240917,6.518791546246194
2019-2022 pandemic window,2019,2022,establishments_5_19,2344313,2363847,19534,0.8332505087844444
2019-2022 pandemic window,2019,2022,establishments_20_plus,1137022,1108154,-28868,-2.538913055332259
2019-2022 pandemic window,2019,2022,employer_total,7177066,7408649,231583,3.226708518494892
2019-2022 pandemic window,2019,2022,establishments_all_bins,34281072,37220144,2939072,8.573454179029172
