year,applications_total,applications_high_propensity,recession_any,recession_months,high_propensity_share,applications_total_index_2005,applications_high_propensity_index_2005
2005,2504996.0,1484134.0,0,0,0.5924696087339062,100.0,100.0
2006,2621411.0,1544953.0,0,0,0.5893593183213163,104.64731281008034,104.09794533377713
2007,2652392.0,1493428.0,0,0,0.5630495039948846,105.88408125202595,100.62622377763734
2008,2521737.0,1245106.0,1,12,0.4937493481675528,100.6683044603664,83.89444618882122
2009,2428403.0,1163595.0,1,6,0.4791605841369822,96.94239032717019,78.40228712501701
2010,2497405.0,1163075.0,0,0,0.4657134105201199,99.69696558397698,78.36724985749265
2011,2573236.0,1187977.0,0,0,0.46166655526348926,102.72415604655656,80.0451306957458
2012,2574634.0,1163426.0,0,0,0.4518801507321041,102.77996451890542,78.3909000130716
2013,2610142.0,1164788.0,0,0,0.4462546482145416,104.1974518122983,78.48267070224117
2014,2666367.0,1167060.0,0,0,0.4376966861651078,106.44196637439741,78.63575660957838
2015,2822714.0,1215340.0,0,0,0.4305572580148042,112.68337354630506,81.88883214049405
2016,2975857.0,1235029.0,0,0,0.4150162457403027,118.7968763223574,83.21546437181549
2017,3197455.0,1263479.0,0,0,0.3951514563926623,127.64311799300279,85.13240718156177
2018,3498607.0,1334218.0,0,0,0.38135692291246204,139.6651731180409,89.89875577272672
2019,3517607.0,1322307.0,0,0,0.37591095309964984,140.42365736312553,89.09620020833698
2020,4379813.0,1522500.0,1,2,0.3476175809332499,174.84311352193777,102.5850765496916
2021,5408801.0,1847560.0,0,0,0.3415840220411141,215.9205443841028,124.48741151405466
2022,5083802.0,1731570.0,0,0,0.3406053186178376,202.94651169103662,116.67207947530345
2023,5489174.0,1856542.0,0,0,0.33821882855234686,219.12905250148103,125.09261293117737
2024,5246630.0,1720175.0,0,0,0.3278628376691324,209.446641830965,115.90429166099557
2025,5645099.0,1690096.0,0,0,0.2993917378596903,225.35361333910313,113.87758787279316
