date,applications_total,applications_high_propensity,recession_flag,year,month
2005-01-01,202843.0,119749.0,0,2005,1
2005-02-01,204339.0,123298.0,0,2005,2
2005-03-01,201714.0,120092.0,0,2005,3
2005-04-01,203971.0,121163.0,0,2005,4
2005-05-01,203067.0,120226.0,0,2005,5
2005-06-01,209167.0,123547.0,0,2005,6
2005-07-01,207146.0,121147.0,0,2005,7
2005-08-01,203963.0,119472.0,0,2005,8
2005-09-01,183543.0,108113.0,0,2005,9
2005-10-01,229648.0,137712.0,0,2005,10
2005-11-01,221721.0,130404.0,0,2005,11
2005-12-01,233874.0,139211.0,0,2005,12
2006-01-01,216711.0,127703.0,0,2006,1
2006-02-01,223584.0,132639.0,0,2006,2
2006-03-01,220837.0,130157.0,0,2006,3
2006-04-01,221673.0,129734.0,0,2006,4
2006-05-01,220526.0,130064.0,0,2006,5
2006-06-01,216343.0,126889.0,0,2006,6
2006-07-01,218471.0,128083.0,0,2006,7
2006-08-01,217514.0,127888.0,0,2006,8
2006-09-01,210576.0,124101.0,0,2006,9
2006-10-01,205714.0,122989.0,0,2006,10
2006-11-01,201617.0,119703.0,0,2006,11
2006-12-01,247845.0,145003.0,0,2006,12
2007-01-01,208246.0,122574.0,0,2007,1
2007-02-01,217604.0,128556.0,0,2007,2
2007-03-01,216164.0,126140.0,0,2007,3
2007-04-01,214131.0,125407.0,0,2007,4
2007-05-01,220037.0,128689.0,0,2007,5
2007-06-01,220862.0,129353.0,0,2007,6
2007-07-01,220521.0,129349.0,0,2007,7
2007-08-01,217887.0,127379.0,0,2007,8
2007-09-01,225643.0,127526.0,0,2007,9
2007-10-01,232383.0,119137.0,0,2007,10
2007-11-01,213015.0,107157.0,0,2007,11
2007-12-01,245899.0,122161.0,0,2007,12
2008-01-01,208482.0,104588.0,1,2008,1
2008-02-01,210303.0,105039.0,1,2008,2
2008-03-01,220389.0,109795.0,1,2008,3
2008-04-01,219024.0,108115.0,1,2008,4
2008-05-01,215387.0,106925.0,1,2008,5
2008-06-01,210155.0,104380.0,1,2008,6
2008-07-01,209396.0,103631.0,1,2008,7
2008-08-01,222223.0,107116.0,1,2008,8
2008-09-01,210402.0,103558.0,1,2008,9
2008-10-01,204593.0,101082.0,1,2008,10
2008-11-01,204094.0,100036.0,1,2008,11
2008-12-01,187289.0,90841.0,1,2008,12
2009-01-01,208117.0,101611.0,1,2009,1
2009-02-01,195238.0,94679.0,1,2009,2
2009-03-01,198598.0,96455.0,1,2009,3
2009-04-01,198684.0,96716.0,1,2009,4
2009-05-01,199441.0,96733.0,1,2009,5
2009-06-01,202527.0,96540.0,1,2009,6
2009-07-01,206927.0,98887.0,0,2009,7
2009-08-01,201391.0,95865.0,0,2009,8
2009-09-01,205778.0,97663.0,0,2009,9
2009-10-01,203145.0,96486.0,0,2009,10
2009-11-01,207255.0,98164.0,0,2009,11
2009-12-01,201302.0,93796.0,0,2009,12
2010-01-01,201730.0,93997.0,0,2010,1
2010-02-01,202438.0,94865.0,0,2010,2
2010-03-01,203227.0,94830.0,0,2010,3
2010-04-01,206091.0,96076.0,0,2010,4
2010-05-01,210575.0,97939.0,0,2010,5
2010-06-01,204492.0,93807.0,0,2010,6
2010-07-01,207258.0,95916.0,0,2010,7
2010-08-01,207432.0,98281.0,0,2010,8
2010-09-01,213690.0,99614.0,0,2010,9
2010-10-01,213496.0,99752.0,0,2010,10
2010-11-01,220986.0,103583.0,0,2010,11
2010-12-01,205990.0,94415.0,0,2010,12
2011-01-01,220262.0,101971.0,0,2011,1
2011-02-01,224248.0,102685.0,0,2011,2
2011-03-01,213338.0,97974.0,0,2011,3
2011-04-01,213578.0,99058.0,0,2011,4
2011-05-01,186215.0,89075.0,0,2011,5
2011-06-01,219576.0,102026.0,0,2011,6
2011-07-01,216352.0,99793.0,0,2011,7
2011-08-01,212893.0,97936.0,0,2011,8
2011-09-01,211969.0,97720.0,0,2011,9
2011-10-01,205200.0,95245.0,0,2011,10
2011-11-01,220838.0,100928.0,0,2011,11
2011-12-01,228767.0,103566.0,0,2011,12
2012-01-01,185168.0,83274.0,0,2012,1
2012-02-01,214454.0,97160.0,0,2012,2
2012-03-01,216917.0,98319.0,0,2012,3
2012-04-01,217615.0,98391.0,0,2012,4
2012-05-01,220514.0,100938.0,0,2012,5
2012-06-01,208224.0,94542.0,0,2012,6
2012-07-01,207891.0,95397.0,0,2012,7
2012-08-01,208611.0,94378.0,0,2012,8
2012-09-01,206493.0,92866.0,0,2012,9
2012-10-01,212036.0,95648.0,0,2012,10
2012-11-01,201841.0,91202.0,0,2012,11
2012-12-01,274870.0,121311.0,0,2012,12
2013-01-01,219826.0,95226.0,0,2013,1
2013-02-01,212132.0,94356.0,0,2013,2
2013-03-01,216804.0,97747.0,0,2013,3
2013-04-01,213092.0,95742.0,0,2013,4
2013-05-01,207148.0,93361.0,0,2013,5
2013-06-01,216701.0,98714.0,0,2013,6
2013-07-01,217965.0,97417.0,0,2013,7
2013-08-01,221376.0,98778.0,0,2013,8
2013-09-01,212417.0,94849.0,0,2013,9
2013-10-01,222856.0,99290.0,0,2013,10
2013-11-01,221486.0,97834.0,0,2013,11
2013-12-01,228339.0,101474.0,0,2013,12
2014-01-01,209436.0,91054.0,0,2014,1
2014-02-01,222677.0,96155.0,0,2014,2
2014-03-01,228095.0,99148.0,0,2014,3
2014-04-01,225982.0,98558.0,0,2014,4
2014-05-01,223626.0,97333.0,0,2014,5
2014-06-01,225960.0,99054.0,0,2014,6
2014-07-01,222113.0,97679.0,0,2014,7
2014-08-01,226150.0,99445.0,0,2014,8
2014-09-01,228220.0,100023.0,0,2014,9
2014-10-01,226161.0,99149.0,0,2014,10
2014-11-01,222018.0,97743.0,0,2014,11
2014-12-01,205929.0,91719.0,0,2014,12
2015-01-01,255317.0,110504.0,0,2015,1
2015-02-01,229911.0,100670.0,0,2015,2
2015-03-01,229121.0,100284.0,0,2015,3
2015-04-01,231237.0,100792.0,0,2015,4
2015-05-01,225203.0,96987.0,0,2015,5
2015-06-01,233799.0,100450.0,0,2015,6
2015-07-01,237552.0,101498.0,0,2015,7
2015-08-01,234217.0,99634.0,0,2015,8
2015-09-01,240255.0,102666.0,0,2015,9
2015-10-01,242992.0,104421.0,0,2015,10
2015-11-01,237065.0,100883.0,0,2015,11
2015-12-01,226045.0,96551.0,0,2015,12
2016-01-01,258911.0,109150.0,0,2016,1
2016-02-01,241406.0,101320.0,0,2016,2
2016-03-01,236623.0,99885.0,0,2016,3
2016-04-01,244018.0,101958.0,0,2016,4
2016-05-01,255025.0,106025.0,0,2016,5
2016-06-01,216520.0,90437.0,0,2016,6
2016-07-01,261383.0,109884.0,0,2016,7
2016-08-01,248039.0,102830.0,0,2016,8
2016-09-01,255054.0,104453.0,0,2016,9
2016-10-01,245258.0,100190.0,0,2016,10
2016-11-01,252973.0,102737.0,0,2016,11
2016-12-01,260647.0,106160.0,0,2016,12
2017-01-01,262312.0,106563.0,0,2017,1
2017-02-01,260199.0,104824.0,0,2017,2
2017-03-01,262143.0,105658.0,0,2017,3
2017-04-01,261557.0,104805.0,0,2017,4
2017-05-01,261640.0,103117.0,0,2017,5
2017-06-01,267588.0,106138.0,0,2017,6
2017-07-01,267675.0,105253.0,0,2017,7
2017-08-01,269566.0,106111.0,0,2017,8
2017-09-01,260571.0,101627.0,0,2017,9
