year,establishments_0,establishments_1_4,establishments_5_19,establishments_20_plus,recession_any,recession_months,recession_share,employer_total,establishments_all_bins,establishments_0_millions,establishments_0_index_1997,establishments_1_4_millions,establishments_1_4_index_1997,establishments_5_19_millions,establishments_5_19_index_1997,establishments_20_plus_millions,establishments_20_plus_index_1997,employer_total_millions,employer_total_index_1997,establishments_all_bins_millions,establishments_all_bins_index_1997,establishments_0_share_all_bins,establishments_1_4_share_all_bins,establishments_5_19_share_all_bins,establishments_20_plus_share_all_bins
1997,15439609,3158911,2055470,861304,0,0,0.0,6075685,21515294,15.439609,100.0,3.158911,100.0,2.05547,100.0,0.861304,100.0,6.075685,100.0,21.515294,100.0,0.7176108771741627,0.1468216516121044,0.0955352968915972,0.04003217432213568
1998,15708727,3186737,2099055,902219,0,0,0.0,6188011,21896738,15.708727,101.74303636834327,3.186737,100.88087318699387,2.099055,102.12043960748636,0.902219,104.75035527525705,6.188011,101.84877919115293,21.896738,101.77289699132162,0.7174003269345416,0.14553478239544174,0.09586153882829489,0.04120335184172181
1999,16152604,3209056,2113268,924069,0,0,0.0,6246393,22398997,16.152604,104.61796020870736,3.209056,101.58741414367167,2.113268,102.81191163091653,0.924069,107.28720637544932,6.246393,102.80969141751095,22.398997,104.10732477092806,0.7211306827711973,0.1432678436449632,0.09434654596364292,0.041254927620196565
2000,16529955,3214522,2135238,951793,0,0,0.0,6301553,22831508,16.529955,107.06200526192082,3.214522,101.7604484583453,2.135238,103.88076692921814,0.951793,110.5060466455514,6.301553,103.71757258646556,22.831508,106.11757385234894,0.7239975125602741,0.1407932406392079,0.0935215492555288,0.04168769754498915
2001,16979498,3220361,2146147,966421,1,8,0.6666666666666666,6332929,23312427,16.979498,109.97362692280615,3.220361,101.9452906397173,2.146147,104.41149712717773,0.966421,112.20440169789065,6.332929,104.23399172274402,23.312427,108.3528163733203,0.7283453584648222,0.13813924221617938,0.09206021320731643,0.04145518611168198
2002,17646062,3254581,2172992,965043,0,0,0.0,6392616,24038678,17.646062,114.29086060404768,3.254581,103.02857535397483,2.172992,105.71752445912614,0.965043,112.04441172919202,6.392616,105.21638300866486,24.038678,111.72832683578481,0.7340695690503446,0.1353893504459771,0.09039565320522201,0.040145427298456264
2003,18649114,3300937,2187102,970992,0,0,0.0,6459031,25108145,18.649114,120.78747590045836,3.300937,104.49604309839688,2.187102,106.40398546317874,0.970992,112.73510862599036,6.459031,106.30951077944297,25.108145,116.69905602963176,0.7427515652789165,0.13146877238441948,0.087107271365527,0.038672390971137054
2004,19523741,3364362,2217013,985313,0,0,0.0,6566688,26090429,19.523741,126.45230199806225,3.364362,106.50385528430526,2.217013,107.8591757602884,0.985313,114.39782004959922,6.566688,108.08144266860444,26.090429,121.26457114645982,0.7483104628137774,0.12895004524456075,0.08497418727764117,0.037765304664020664
2005,20392068,3437129,2243864,994393,0,0,0.0,6675386,27067454,20.392068,132.07632395354054,3.437129,108.80740229781719,2.243864,109.16549499627823,0.994393,115.45203551823747,6.675386,109.87050842826775,27.067454,125.8056431857264,0.7533796122827068,0.1269838308397975,0.08289896788962862,0.03673758898786712
2006,20768555,3533027,2290826,1014860,0,0,0.0,6838713,27607268,20.768555,134.51477301011963,3.533027,111.8431953290232,2.290826,111.45022792840567,1.01486,117.8283161346052,6.838713,112.55871560161529,27.607268,128.31462121781837,0.7522857748908729,0.12797452467951556,0.08297909086839017,0.03676060956122134
2007,21708021,3567901,2318985,1030321,0,0,0.0,6917207,28625228,21.708021,140.59955145237163,3.567901,112.94718338060173,2.318985,112.82018224542318,1.030321,119.62338500691975,6.917207,113.850652230983,28.625228,133.04595326468697,0.7583527718975723,0.12464183691392781,0.08101193115387588,0.035993460034624
2008,21351320,3524652,2316380,1032693,1,12,1.0,6873725,28225045,21.35132,138.28925330945881,3.524652,111.57807231669395,2.31638,112.69344724077705,1.032693,119.89878138264771,6.873725,113.13497984177916,28.225045,131.18596008959952,0.7564671730372795,0.12487675396088828,0.08206824825257143,0.036587824749260804
2009,21695828,3443722,2286106,1008072,1,6,0.5,6737900,28433728,21.695828,140.52057924523865,3.443722,109.0161134644186,2.286106,111.220596749162,1.008072,117.04020879968049,6.7379,110.89942944705,28.433728,132.15588873663543,0.7630314252144496,0.1211139812549378,0.08040120521656534,0.03545338831404732
2010,22110628,3439738,2259412,970359,0,0,0.0,6669509,28780137,22.110628,143.20717577757313,3.439738,108.88999405174758,2.259412,109.92191566892244,0.970359,112.66161541105114,6.669509,109.7737785945124,28.780137,133.76594807396077,0.7682599982064019,0.11951777713914287,0.07850595012803449,0.03371627452642077
2011,22491080,3455096,2246507,963917,0,0,0.0,6665520,29156600,22.49108,145.6713055362995,3.455096,109.37617425752103,2.246507,109.29407872651997,0.963917,111.91367972283886,6.66552,109.70812344616286,29.1566,135.51569409183998,0.7713889822544466,0.1185013341747666,0.07704969029310688,0.03305999327767984
2012,22735915,3491566,2238133,980873,0,0,0.0,6710572,29446487,22.735915,147.25706460571638,3.491566,110.53068604971777,2.238133,108.88667798605671,0.980873,113.88232261779812,6.710572,110.44963654304,29.446487,136.86304728162207,0.7721095898468296,0.11857326138768268,0.0760067915741528,0.03331035719133491
2013,23005620,3498829,2247576,1003280,0,0,0.0,6749685,29755305,23.00562,149.00390288381007,3.498829,110.7606070573055,2.247576,109.34608629656478,1.00328,116.48384310301589,6.749685,111.09339934509443,29.755305,138.29838904362637,0.7731602818388184,0.11758672949243841,0.07553530370466711,0.03371768496407616
2014,23836937,3527596,2268051,1026789,0,0,0.0,6822436,30659373,23.836937,154.38821669642022,3.527596,111.67126899111751,2.268051,110.34220883788136,1.026789,119.21330912198248,6.822436,112.2908116533362,30.659373,142.50036741305976,0.7774763365186887,0.11505766931372015,0.07397577895673209,0.03349021521085901
2015,24331403,3562599,2289642,1054203,0,0,0.0,6906444,31237847,24.331403,157.59079779805305,3.562599,112.77934072849789,2.289642,111.39262553090047,1.054203,122.39615745427862,6.906444,113.67350348150045,31.237847,145.18903157911762,0.7789078101317289,0.11404752062458082,0.07329704892914035,0.03374762031454985
