year,us_tea_raw_n,us_tea_weight_sum,motive_var,share,motive_label,share_pct
2019,475,488.08345111168006,teayymot1yes,0.6578543079205569,Make a difference,65.78543079205569
2020,287,286.318971299398,teayymot1yes,0.6813573590317148,Make a difference,68.13573590317148
2021,276,292.41909456628605,teayymot1yes,0.7147342570350267,Make a difference,71.47342570350267
2019,475,488.08345111168006,teayymot2yes,0.6833060162717692,High income / wealth,68.33060162717692
2020,287,286.318971299398,teayymot2yes,0.6467815659369616,High income / wealth,64.67815659369616
2021,276,292.41909456628605,teayymot2yes,0.733532476927226,High income / wealth,73.3532476927226
2019,475,488.08345111168006,teayymot3yes,0.3063142093137974,Family tradition,30.631420931379736
2020,287,286.318971299398,teayymot3yes,0.2896730931536936,Family tradition,28.96730931536936
2021,276,292.41909456628605,teayymot3yes,0.412423142718717,Family tradition,41.2423142718717
2019,475,488.08345111168006,teayymot4yes,0.4088956699598023,Jobs are scarce,40.88956699598023
2020,287,286.318971299398,teayymot4yes,0.4962755093147791,Jobs are scarce,49.62755093147791
2021,276,292.41909456628605,teayymot4yes,0.4571690903533169,Jobs are scarce,45.71690903533169
