year,unincorporated_self_employed,incorporated_self_employed,self_employed_total,employment_total,rate_unincorporated,rate_incorporated,rate_total,recession_any,recession_months
2000,10214.25,4458.583333333333,14672.833333333334,136890.75,7.461810933383035,3.256971821674219,10.718782755057253,0,0
2001,10108.5,4451.833333333333,14560.333333333334,136933.33333333334,7.381681771448288,3.251307958968296,10.632989730416583,1,8
2002,9925.916666666666,4607.5,14533.416666666666,136485.16666666666,7.271559810416204,3.3759248180212715,10.647484628437477,0,0
2003,10295.5,4956.0,15251.5,137735.66666666666,7.474274279556949,3.5982238903194332,11.072498169876383,0,0
2004,10430.833333333334,5150.916666666667,15581.75,139251.91666666666,7.489575895224163,3.6990312528332754,11.188607148057438,0,0
2005,10464.416666666666,5253.583333333333,15718.0,141729.75,7.38414121903872,3.706940344226745,11.091081563265464,0,0
2006,10586.0,5498.666666666667,16084.666666666666,144427.0,7.329653648521989,3.8077058389781953,11.137359487500184,0,0
2007,10413.166666666666,5735.666666666667,16148.833333333334,146046.66666666666,7.130087323475261,3.927502633868743,11.057589957344005,0,0
2008,10079.666666666666,5784.083333333333,15863.75,145362.5,6.933208218876497,3.9793645177256542,10.91257273660215,1,12
2009,9830.833333333334,5465.75,15296.583333333334,139877.5,7.028082904342242,3.907753911496402,10.935836815838643,1,6
2010,9680.666666666666,5191.5,14872.166666666666,139063.91666666666,6.961257323497864,3.734140006609626,10.69539733010749,0,0
2011,9449.0,5127.083333333333,14576.083333333334,139869.25,6.755994669157887,3.6660856739565055,10.422080343114393,0,0
2012,9529.083333333334,5252.75,14781.833333333334,142469.08333333334,6.687887443081398,3.6870211503472365,10.374908593428634,0,0
2013,9408.416666666666,5310.583333333333,14719.0,143929.33333333334,6.536305169509102,3.689945265859205,10.226250435368309,0,0
2014,9358.416666666666,5429.75,14788.166666666666,146305.33333333334,6.396152251200605,3.7114461790676767,10.10759843026828,0,0
2015,9508.416666666666,5482.666666666667,14991.083333333334,148833.41666666666,6.388347303284777,3.6838337997423363,10.072181103027113,0,0
2016,9604.166666666666,5643.083333333333,15247.25,151435.83333333334,6.342071439494469,3.7266973118098368,10.068768751304306,0,0
2017,9525.666666666666,5845.166666666667,15370.833333333334,153337.41666666666,6.2119529256706585,3.811800168116753,10.023753093787413,0,0
2018,9706.75,5850.5,15557.25,155761.0,6.232031072613036,3.7562709194116635,9.988301992024699,0,0
2019,9539.583333333334,6182.5,15722.083333333334,157538.08333333334,6.055188043444665,3.9240387440457014,9.979226787490367,0,0
2020,9253.0,6282.0,15535.0,147794.75,6.266013791284206,4.260176389868087,10.526190181152293,1,2
2021,9956.5,6116.0,16072.5,152580.66666666666,6.524196538489825,4.007891594314779,10.532088132804605,0,0
2022,9873.583333333334,6654.5,16528.083333333332,158291.08333333334,6.23746091396901,4.2035153303467725,10.440976244315783,0,0
