date,unincorporated_self_employed,incorporated_self_employed,employment_total,recession_flag,year,month,self_employed_total,rate_unincorporated,rate_incorporated,rate_total
2000-01-01,10087.0,4333.0,134912.0,0,2000,1,14420.0,7.476725569259962,3.2117231973434537,10.688448766603415
2000-02-01,10041.0,4417.0,135490.0,0,2000,2,14458.0,7.410879031662853,3.260019189608089,10.670898221270942
2000-03-01,10144.0,4431.0,136054.0,0,2000,3,14575.0,7.455863113175651,3.256795096064798,10.712658209240448
2000-04-01,10430.0,4397.0,136927.0,0,2000,4,14827.0,7.617197484791166,3.2112001285356433,10.828397613326809
2000-05-01,10396.0,4310.0,136685.0,0,2000,5,14706.0,7.605808976844569,3.1532355415736912,10.75904451841826
2000-06-01,10405.0,4395.0,137915.0,0,2000,6,14800.0,7.544502048363122,3.1867454591596274,10.731247507522749
2000-07-01,10408.0,4544.0,137769.0,0,2000,7,14952.0,7.5546748542850715,3.2982746481429057,10.852949502427977
2000-08-01,10360.0,4545.0,137308.0,0,2000,8,14905.0,7.5450811314708535,3.31007661607481,10.855157747545665
2000-09-01,10481.0,4621.0,136790.0,0,2000,9,15102.0,7.662109803348198,3.378170918926822,11.04028072227502
2000-10-01,10112.0,4484.0,137532.0,0,2000,10,14596.0,7.352470697728529,3.2603321408835764,10.612802838612104
2000-11-01,9858.0,4529.0,137461.0,0,2000,11,14387.0,7.171488640414372,3.2947526934912448,10.466241333905616
2000-12-01,9849.0,4497.0,137846.0,0,2000,12,14346.0,7.144929849252064,3.262336230285971,10.407266079538035
2001-01-01,9908.0,4495.0,136181.0,0,2001,1,14403.0,7.275611135180385,3.300754143382704,10.576365278563088
2001-02-01,9882.0,4437.0,136577.0,0,2001,2,14319.0,7.235478887367566,3.2487168410493714,10.484195728416937
2001-03-01,10173.0,4306.0,137155.0,0,2001,3,14479.0,7.417155772665962,3.1395136888921296,10.55666946155809
2001-04-01,10207.0,4183.0,137022.0,1,2001,4,14390.0,7.44916874662463,3.052794441768475,10.501963188393105
2001-05-01,10153.0,4259.0,137121.0,1,2001,5,14412.0,7.404409244389991,3.106015854610162,10.510425099000154
2001-06-01,10389.0,4402.0,137737.0,1,2001,6,14791.0,7.542635602634006,3.195945896890451,10.738581499524456
2001-07-01,10359.0,4454.0,138239.0,1,2001,7,14813.0,7.493543790102648,3.221956177345033,10.71549996744768
2001-08-01,10139.0,4533.0,136809.0,1,2001,8,14672.0,7.411062137724858,3.313378505800057,10.724440643524915
2001-09-01,10230.0,4572.0,136835.0,1,2001,9,14802.0,7.476157415865824,3.3412504110790366,10.81740782694486
2001-10-01,10199.0,4614.0,136885.0,1,2001,10,14813.0,7.450779851700332,3.370712641998758,10.82149249369909
2001-11-01,9878.0,4560.0,136370.0,1,2001,11,14438.0,7.243528635330351,3.3438439539488156,10.587372589279166
2001-12-01,9785.0,4607.0,136269.0,0,2001,12,14392.0,7.180650037792895,3.3808129508545597,10.561462988647454
2002-01-01,9476.0,4650.0,134177.0,0,2002,1,14126.0,7.062313213143832,3.465571595728031,10.527884808871864
