year,us_tea_raw_n,us_tea_weight_sum,overlap_var,share,overlap_label,share_pct
2019,475,488.08345111168006,jobs_only_share,0.11357505468920552,Jobs scarce only,11.357505468920552
2020,287,286.31897129939796,jobs_only_share,0.17589753680049044,Jobs scarce only,17.589753680049043
2021,276,292.41909456628605,jobs_only_share,0.07641924107677454,Jobs scarce only,7.641924107677454
2019,475,488.08345111168006,jobs_and_income_share,0.2953206152705968,Both motives,29.53206152705968
2020,287,286.31897129939796,jobs_and_income_share,0.32037797251428857,Both motives,32.037797251428856
2021,276,292.41909456628605,jobs_and_income_share,0.38074984927654226,Both motives,38.07498492765423
2019,475,488.08345111168006,income_only_share,0.38798540100117285,High income only,38.798540100117286
2020,287,286.31897129939796,income_only_share,0.3264035934226723,High income only,32.640359342267224
2021,276,292.41909456628605,income_only_share,0.3527826276506828,High income only,35.27826276506828
2019,475,488.08345111168006,neither_jobs_nor_income_share,0.2031189290390246,Neither,20.31189290390246
2020,287,286.31897129939796,neither_jobs_nor_income_share,0.1773208972625473,Neither,17.732089726254728
2021,276,292.41909456628605,neither_jobs_nor_income_share,0.19004828199600027,Neither,19.004828199600027
