series,period,year,price,log_dev,pct_dev
Bounded price expectations,1,2001,8.97241604265001,0.0,0.0
No-RE comparator,1,2001,8.98635476877593,0.0,0.0
Bounded price expectations,2,2002,8.97241126594726,-5.323765638811233e-07,-5.323764221687455e-05
No-RE comparator,2,2002,8.98635476877593,0.0,0.0
Bounded price expectations,3,2003,8.97240648924705,-1.0647531279690079e-06,-0.00010647525611195974
No-RE comparator,3,2003,8.98635476877593,0.0,0.0
Bounded price expectations,4,2004,8.97240171254939,-1.5971296912643013e-06,-0.0001597128415853355
No-RE comparator,4,2004,8.98635476877593,0.0,0.0
Bounded price expectations,5,2005,8.97239693585427,-2.1295062548770765e-06,-0.00021295039874802413
No-RE comparator,5,2005,8.99642538542385,0.0011200290071206734,0.11206564738475144
Bounded price expectations,6,2006,8.97239215916169,-2.6618828190292285e-06,-0.0002661879276222301
No-RE comparator,6,2006,8.99642538542385,0.0011200290071206734,0.11206564738475144
Bounded price expectations,7,2007,8.97238738247166,-3.1942593822773126e-06,-0.0003194254280636244
No-RE comparator,7,2007,8.99642538542385,0.0011200290071206734,0.11206564738475144
Bounded price expectations,8,2008,8.97238260578417,-3.7266359457314035e-06,-0.00037266290018322934
No-RE comparator,8,2008,8.99642538542385,0.0011200290071206734,0.11206564738475144
Bounded price expectations,9,2009,8.97237782909922,-4.2590125096133964e-06,-0.0004259003440032494
No-RE comparator,9,2009,9.00621583019605,0.0022076967132234303,0.2210135469960406
Bounded price expectations,10,2010,8.97237305241681,-4.791389073812118e-06,-0.0004791377595125823
No-RE comparator,10,2010,9.00621583019605,0.0022076967132234303,0.2210135469960406
Bounded price expectations,11,2011,8.97236827573695,-5.323765637328213e-06,-0.000532375146611308
No-RE comparator,11,2011,9.00621583019605,0.0022076967132234303,0.2210135469960406
Bounded price expectations,12,2012,8.97236349905963,-5.856142200938688e-06,-0.0005856125053771422
No-RE comparator,12,2012,9.00621583019605,0.0022076967132234303,0.2210135469960406
Bounded price expectations,13,2013,8.97235872238485,-6.388518764976464e-06,-0.0006388498358433914
No-RE comparator,13,2013,9.00645488200563,0.002234239341289244,0.2236737113867182
Bounded price expectations,14,2014,8.97235394571262,-6.92089532844218e-06,-0.0006920871379101357
No-RE comparator,14,2014,9.00645488200563,0.002234239341289244,0.2236737113867182
Bounded price expectations,15,2015,8.97197972213209,-4.863028253785799e-05,-0.0048629100104835565
No-RE comparator,15,2015,9.00645488200563,0.002234239341289244,0.2236737113867182
Bounded price expectations,16,2016,8.97160551415987,-9.03396697474055e-05,-0.009033558924231855
No-RE comparator,16,2016,9.00645488200563,0.002234239341289244,0.2236737113867182
Bounded price expectations,17,2017,8.9712313217953,-0.000132049056958248,-0.013204033886526911
No-RE comparator,17,2017,9.0034076924892,0.0018958481367030405,0.18976463930091558
Bounded price expectations,18,2018,8.97085714503775,-0.0001737584441675546,-0.017374334904340927
No-RE comparator,18,2018,9.0034076924892,0.0018958481367030405,0.18976463930091558
Bounded price expectations,19,2019,8.97048298388656,-0.00021546783137660558,-0.021544461985056884
No-RE comparator,19,2019,9.0034076924892,0.0018958481367030405,0.18976463930091558
Bounded price expectations,20,2020,8.97010883834106,-0.00025717721858768396,-0.025714415136157687
No-RE comparator,20,2020,9.0034076924892,0.0018958481367030405,0.18976463930091558
Bounded price expectations,21,2021,8.96973470840063,-0.0002988866057971902,-0.02988419436453782
No-RE comparator,21,2021,8.99461124924645,0.0009183578949567888,0.09187797146856802
Bounded price expectations,22,2022,8.9693605940646,-0.0003405959930071913,-0.03405379967765798
No-RE comparator,22,2022,8.99461124924645,0.0009183578949567888,0.09187797146856802
Bounded price expectations,23,2023,8.96898649533233,-0.0003823053802165367,-0.038223231082656905
No-RE comparator,23,2023,8.99461124924645,0.0009183578949567888,0.09187797146856802
Bounded price expectations,24,2024,8.96861241220316,-0.00042401476742641117,-0.042392488586906474
No-RE comparator,24,2024,8.99461124924645,0.0009183578949567888,0.09187797146856802
Bounded price expectations,25,2025,8.96823834467645,-0.000465724154635448,-0.046561572197523216
No-RE comparator,25,2025,8.98321434056846,-0.00034952738380450004,-0.034946630622478825
Bounded price expectations,26,2026,8.96786429275153,-0.0005074335418457267,-0.05073048192196783
No-RE comparator,26,2026,8.98321434056846,-0.00034952738380450004,-0.034946630622478825
Bounded price expectations,27,2027,8.96749025642776,-0.0005491429290561087,-0.05489921776737905
No-RE comparator,27,2027,8.98321434056846,-0.00034952738380450004,-0.034946630622478825
Bounded price expectations,28,2028,8.9671162357045,-0.0005908523162655695,-0.05906777974090671
No-RE comparator,28,2028,8.98321434056846,-0.00034952738380450004,-0.034946630622478825
Bounded price expectations,29,2029,8.96674223058109,-0.0006325617034749758,-0.06323616784988939
No-RE comparator,29,2029,8.97296145817064,-0.0014915170398432315,-0.1490405281107554
Bounded price expectations,30,2030,8.96636824105687,-0.0006742710906854199,-0.06740438210168787
No-RE comparator,30,2030,8.97296145817064,-0.0014915170398432315,-0.1490405281107554
Bounded price expectations,31,2031,8.9659942671312,-0.000715980477895664,-0.07157242250342977
No-RE comparator,31,2031,8.97296145817064,-0.0014915170398432315,-0.1490405281107554
Bounded price expectations,32,2032,8.96562030880344,-0.0007576898651045844,-0.07574028906225383
No-RE comparator,32,2032,8.97296145817064,-0.0014915170398432315,-0.1490405281107554
Bounded price expectations,33,2033,8.96524636607291,-0.0007993992523153933,-0.07990798178573177
