row_id,run_tag,probe_type,horizon_t,tail_years,terminal_anchor,terminal_blend_weight,terminal_relaxation,shock_amplitude,pass_through,ttb_proxy_lag_years,source_run_tag,source_outer,no_re_tag,hybrid_switch_period,outer_iter,basis_dim,basis_damping,broyden_damping,broyden_step_cap,basis_step_cap,basis_tail_weight,basis_focus_start,basis_focus_end,basis_focus_weight,path_relaxation,vote_scale,notes
1,pff60_f21_from60,residual_focus,60,80,terminal_fixed_point,1.00,0.12,0.25,0.006,4,pfh60_tail80_pt006_ttb4,10,nore80bv4_006,60,12,10,0.18,0.22,0.0020,0.00025,0.12,18,23,14,0.012,0.02,T60_focus_period21_from_best_T60
2,pff60_f29_from60,residual_focus,60,80,terminal_fixed_point,1.00,0.12,0.25,0.006,4,pfh60_tail80_pt006_ttb4,10,nore80bv4_006,60,12,10,0.18,0.22,0.0020,0.00025,0.12,28,30,14,0.012,0.02,T60_focus_secondary_period29
3,pff60_f21_from40,residual_focus,60,80,terminal_fixed_point,1.00,0.12,0.25,0.006,4,pfh40_tail80_pt006_ttb4,8,nore80bv4_006,40,14,10,0.16,0.20,0.0018,0.00025,0.14,18,23,14,0.012,0.02,T40_usable_to_T60_with_period21_focus
4,pff60_soft_f21,terminal_soft,60,80,soft_reference,0.75,0.12,0.25,0.006,4,pfh60_tail80_pt006_ttb4,10,nore80bv4_006,60,12,10,0.18,0.22,0.0020,0.00025,0.10,18,23,14,0.012,0.02,T60_soft_terminal_focus_period21
5,pff80_f20_from80,residual_focus,80,80,terminal_fixed_point,1.00,0.12,0.25,0.006,4,re80tail80_pt006_ttb4,5,nore80bv4_006,80,12,10,0.16,0.20,0.0018,0.00025,0.12,17,23,14,0.012,0.02,T80_focus_period20_from_best_T80
6,pff80_f37_from80,residual_focus,80,80,terminal_fixed_point,1.00,0.12,0.25,0.006,4,re80tail80_pt006_ttb4,5,nore80bv4_006,80,12,10,0.16,0.20,0.0018,0.00025,0.12,36,40,14,0.012,0.02,T80_focus_period37_from_best_T80
7,pff80_tail120_f20,long_tail,80,120,terminal_fixed_point,1.00,0.12,0.25,0.006,4,re80tail80_pt006_ttb4,5,nore80bv4_006,80,12,10,0.14,0.18,0.0015,0.00022,0.08,17,23,14,0.010,0.02,T80_tail120_period20_focus
8,pff80_tail120_f37,long_tail,80,120,terminal_fixed_point,1.00,0.12,0.25,0.006,4,re80tail80_pt006_ttb4,5,nore80bv4_006,80,12,10,0.14,0.18,0.0015,0.00022,0.08,36,40,14,0.010,0.02,T80_tail120_period37_focus
9,pff80_soft_f20,terminal_soft,80,80,soft_reference,0.75,0.12,0.25,0.006,4,re80tail80_pt006_ttb4,5,nore80bv4_006,80,12,10,0.14,0.18,0.0015,0.00022,0.08,17,23,14,0.010,0.02,T80_soft_terminal_period20_focus
10,pff80_soft_f37,terminal_soft,80,80,soft_reference,0.75,0.12,0.25,0.006,4,re80tail80_pt006_ttb4,5,nore80bv4_006,80,12,10,0.14,0.18,0.0015,0.00022,0.08,36,40,14,0.010,0.02,T80_soft_terminal_period37_focus
11,pff80_from60_f20,staged_bridge,80,80,terminal_fixed_point,1.00,0.12,0.25,0.006,4,pfh60_tail80_pt006_ttb4,10,nore80bv4_006,60,14,10,0.14,0.18,0.0015,0.00025,0.14,17,23,14,0.012,0.02,T60_to_T80_period20_focus
12,pff80_from40_f37,staged_bridge,80,80,terminal_fixed_point,1.00,0.12,0.25,0.006,4,pfh40_tail80_pt006_ttb4,8,nore80bv4_006,40,14,10,0.14,0.18,0.0015,0.00025,0.14,36,40,14,0.012,0.02,T40_to_T80_period37_focus
13,pff80_amp005_f20,small_shock,80,80,terminal_fixed_point,1.00,0.12,0.05,0.006,4,re80tail80_pt006_ttb4,5,nore80bv4_006,80,10,10,0.16,0.20,0.0018,0.00025,0.12,17,23,14,0.012,0.02,T80_small_shock_005_period20_focus
14,pff80_amp0075_f37,small_shock,80,80,terminal_fixed_point,1.00,0.12,0.075,0.006,4,re80tail80_pt006_ttb4,5,nore80bv4_006,80,10,10,0.16,0.20,0.0018,0.00025,0.12,36,40,14,0.012,0.02,T80_small_shock_0075_period37_focus
