row_id,run_tag,family,route,demographic_scenario,post_report_mode,horizon_t,tail_years,terminal_anchor,terminal_blend_weight,terminal_relaxation,shock_amplitude,pass_through,ttb_proxy_lag_years,source_mode,source_run_tag,source_outer,nore_tag,outer_iter,path_update_method,basis_dim,basis_damping,broyden_damping,broyden_step_cap,basis_step_cap,basis_tail_weight,basis_focus_start,basis_focus_end,basis_focus_weight,path_relaxation,vote_scale,period_iter,update_relaxation,notes
1,noresec80_pt006_l4,nore,secular_nore,secular_decline,natural,80,0,reference,1.00,0.12,0.25,0.006,4,flat,,,nore80bv4_006,0,none,0,0,0,0,0,0,NaN,NaN,1,0.00,0.02,3,0.75,no_RE_secular_decline_comparator_pt006
2,noresec80_pt012_l4,nore,secular_nore,secular_decline,natural,80,0,reference,1.00,0.12,0.25,0.012,4,flat,,,nore80bv4_012,0,none,0,0,0,0,0,0,NaN,NaN,1,0.00,0.02,3,0.75,no_RE_secular_decline_comparator_pt012
3,resec80_hold_pt006_l4,re,secular_re,secular_decline,hold_report_end,80,20,terminal_fixed_point,1.00,0.12,0.25,0.006,4,flat,,,none,12,basis_broyden,6,0.24,0.42,0.0025,0.00045,0.10,12,32,5,0.010,0.02,0,0,main_RE_secular_decline_persistent_tail_pt006
4,resec80_rss_pt006_l4,re,secular_re,secular_decline,return_to_steady_state,80,40,terminal_fixed_point,1.00,0.12,0.25,0.006,4,flat,,,none,12,basis_broyden,6,0.24,0.42,0.0025,0.00045,0.12,12,32,5,0.010,0.02,0,0,secular_decline_with_return_to_steady_tail
5,resec80_hold_pt012_l4,re,secular_re,secular_decline,hold_report_end,80,20,terminal_fixed_point,1.00,0.12,0.25,0.012,4,flat,,,none,12,basis_broyden,6,0.24,0.42,0.0025,0.00045,0.10,12,32,5,0.010,0.02,0,0,secular_decline_pass_through_012
6,reprojmed80_pt006_l4,re,official_projection_re,external_age_path,hold_report_end,80,20,terminal_fixed_point,1.00,0.12,0.25,0.006,4,flat,,,none,10,basis_broyden,6,0.24,0.42,0.0025,0.00045,0.10,12,32,5,0.010,0.02,0,0,official_age_projection_2001_2100_RE_pt006
7,reprojmed80_pt012_l4,re,official_projection_re,external_age_path,hold_report_end,80,20,terminal_fixed_point,1.00,0.12,0.25,0.012,4,flat,,,none,10,basis_broyden,6,0.24,0.42,0.0025,0.00045,0.10,12,32,5,0.010,0.02,0,0,official_age_projection_2001_2100_RE_pt012
8,projbb80_basis4_l4,re,projected_pf,published_baby_boom,return_to_steady_state,80,80,terminal_fixed_point,1.00,0.12,0.25,0.006,4,re_source,re80tail80_pt006_ttb4,5,none,10,basis_broyden,4,0.22,0.42,0.0022,0.00040,0.14,18,40,6,0.010,0.02,0,0,low_dimensional_projected_T80_RE_basis4
9,projbb80_basis6_l4,re,projected_pf,published_baby_boom,return_to_steady_state,80,80,terminal_fixed_point,1.00,0.12,0.25,0.006,4,re_source,re80tail80_pt006_ttb4,5,none,10,basis_broyden,6,0.22,0.42,0.0022,0.00040,0.14,18,40,6,0.010,0.02,0,0,low_dimensional_projected_T80_RE_basis6
10,projbb80_softref_l4,re,projected_pf,published_baby_boom,return_to_steady_state,80,80,soft_reference,0.35,0.12,0.25,0.006,4,re_source,re80tail80_pt006_ttb4,5,none,10,basis_broyden,5,0.20,0.38,0.0020,0.00035,0.16,18,40,6,0.010,0.02,0,0,projected_RE_with_soft_terminal_reference
11,linbb80_amp005_l4,re,local_linear_proxy,published_baby_boom,return_to_steady_state,80,80,terminal_fixed_point,1.00,0.12,0.050,0.006,4,flat,,,none,8,basis_broyden,5,0.24,0.42,0.0025,0.00045,0.14,12,32,5,0.010,0.02,0,0,small_shock_RE_proxy_for_sequence_space_response_amp005
12,linbb80_amp010_l4,re,local_linear_proxy,published_baby_boom,return_to_steady_state,80,80,terminal_fixed_point,1.00,0.12,0.100,0.006,4,flat,,,none,8,basis_broyden,5,0.24,0.42,0.0025,0.00045,0.14,12,32,5,0.010,0.02,0,0,small_shock_RE_proxy_for_sequence_space_response_amp010
13,linsec80_amp010_l4,re,local_linear_proxy,secular_decline,hold_report_end,80,20,terminal_fixed_point,1.00,0.12,0.100,0.006,4,flat,,,none,8,basis_broyden,5,0.24,0.42,0.0025,0.00045,0.10,12,32,5,0.010,0.02,0,0,small_shock_secular_RE_linear_proxy
14,pebb80_nore006_l4,re,partial_equilibrium_pf,published_baby_boom,return_to_steady_state,80,0,reference,1.00,0.12,0.25,0.006,4,nore,,,nore80bv4_006,1,relaxation,3,0.00,0.00,0.0000,0.0000,0.00,NaN,NaN,1,0.000,0.02,0,0,conditional_PF_households_on_no_RE_price_path_pt006
15,pebb80_nore012_l4,re,partial_equilibrium_pf,published_baby_boom,return_to_steady_state,80,0,reference,1.00,0.12,0.25,0.012,4,nore,,,nore80bv4_012,1,relaxation,3,0.00,0.00,0.0000,0.0000,0.00,NaN,NaN,1,0.000,0.02,0,0,conditional_PF_households_on_no_RE_price_path_pt012
16,bound40_baby_hold_l4,re,bounded_expectations,published_baby_boom,hold_report_end,40,20,terminal_fixed_point,1.00,0.12,0.25,0.006,4,flat,,,none,10,basis_broyden,5,0.24,0.42,0.0025,0.00045,0.10,10,24,5,0.010,0.02,0,0,bounded_forecast_horizon_40_years_holds_forecast_end
17,bound60_baby_hold_l4,re,bounded_expectations,published_baby_boom,hold_report_end,60,20,terminal_fixed_point,1.00,0.12,0.25,0.006,4,flat,,,none,10,basis_broyden,5,0.24,0.42,0.0025,0.00045,0.10,12,32,5,0.010,0.02,0,0,bounded_forecast_horizon_60_years_holds_forecast_end
18,bound40_baby_rss_l4,re,bounded_expectations,published_baby_boom,return_to_steady_state,40,40,terminal_fixed_point,1.00,0.12,0.25,0.006,4,flat,,,none,10,basis_broyden,5,0.24,0.42,0.0025,0.00045,0.12,10,24,5,0.010,0.02,0,0,bounded_40_year_forecast_with_return_to_steady_tail
