row_id,run_tag,family,route,demographic_scenario,post_report_mode,horizon_t,tail_years,terminal_anchor,terminal_blend_weight,terminal_relaxation,terminal_iter,shock_amplitude,pass_through,ttb_proxy_lag_years,vote_shift_mode,vote_shift_horizon,vote_block_length,source_mode,source_run_tag,source_outer,nore_tag,hybrid_switch_period,seed_blend_weight,outer_iter,path_update_method,basis_dim,basis_damping,broyden_damping,broyden_step_cap,basis_step_cap,basis_tail_weight,basis_end_weight,basis_focus_start,basis_focus_end,basis_focus_weight,path_relaxation,vote_scale,max_abs_log_price_move,notes
1,w80_b40rss_sp40,re,full_t80_bridge_candidate,published_baby_boom,return_to_steady_state,80,80,terminal_fixed_point,1.00,0.10,220,0.25,0.006,4,block_vote,4,4,hybrid_re_nore,bound40_baby_rss_l4,7,nore80bv4_006,40,,18,basis_broyden,5,0.22,0.38,0.0020,0.00032,0.12,10,10,28,7,0.008,0.02,0.18,T40_usable_RSS_spliced_to_shifted_noRE_tail
2,w80_b40rss_sp32,re,full_t80_bridge_candidate,published_baby_boom,return_to_steady_state,80,80,terminal_fixed_point,1.00,0.10,220,0.25,0.006,4,block_vote,4,4,hybrid_re_nore,bound40_baby_rss_l4,7,nore80bv4_006,32,,18,basis_broyden,5,0.22,0.38,0.0020,0.00032,0.12,10,8,24,7,0.008,0.02,0.18,T40_RSS_early_splice_before_unwind
3,w80_b40rss_bl70,re,full_t80_bridge_candidate,published_baby_boom,return_to_steady_state,80,80,terminal_fixed_point,1.00,0.10,220,0.25,0.006,4,block_vote,4,4,blend_re_nore,bound40_baby_rss_l4,7,nore80bv4_006,40,0.70,18,basis_broyden,5,0.22,0.38,0.0020,0.00032,0.12,10,10,30,7,0.008,0.02,0.18,T40_RSS_70pct_RE_30pct_shifted_noRE_seed
4,w80_b40rss_bl35,re,full_t80_bridge_candidate,published_baby_boom,return_to_steady_state,80,80,terminal_fixed_point,1.00,0.10,220,0.25,0.006,4,block_vote,4,4,blend_re_nore,bound40_baby_rss_l4,7,nore80bv4_006,40,0.35,18,basis_broyden,5,0.22,0.38,0.0020,0.00032,0.12,10,10,30,7,0.008,0.02,0.18,T40_RSS_35pct_RE_65pct_shifted_noRE_seed
5,w80_b40hold_sp40,re,full_t80_bridge_candidate,published_baby_boom,hold_report_end,80,40,terminal_fixed_point,1.00,0.10,220,0.25,0.006,4,block_vote,4,4,hybrid_re_nore,bound40_baby_hold_l4,7,nore80bv4_006,40,,18,basis_broyden,5,0.22,0.38,0.0020,0.00032,0.10,10,10,28,7,0.008,0.02,0.18,T40_hold_nearusable_spliced_to_shifted_noRE_tail
6,w80_b60hold_sp60,re,full_t80_bridge_candidate,published_baby_boom,hold_report_end,80,40,terminal_fixed_point,1.00,0.10,220,0.25,0.006,4,block_vote,4,4,hybrid_re_nore,bound60_baby_hold_l4,10,nore80bv4_006,60,,18,basis_broyden,5,0.22,0.38,0.0020,0.00032,0.10,10,16,42,7,0.008,0.02,0.18,T60_hold_survivor_spliced_to_shifted_noRE_tail
7,w80_b60hold_bl70,re,full_t80_bridge_candidate,published_baby_boom,hold_report_end,80,40,terminal_fixed_point,1.00,0.10,220,0.25,0.006,4,block_vote,4,4,blend_re_nore,bound60_baby_hold_l4,10,nore80bv4_006,60,0.70,18,basis_broyden,5,0.22,0.38,0.0020,0.00032,0.10,10,16,42,7,0.008,0.02,0.18,T60_hold_70pct_RE_30pct_shifted_noRE_seed
8,w80_b60hold_ext,re,full_t80_bridge_candidate,published_baby_boom,return_to_steady_state,80,80,terminal_fixed_point,1.00,0.10,220,0.25,0.006,4,block_vote,4,4,re_source,bound60_baby_hold_l4,10,none,,,18,basis_broyden,5,0.22,0.38,0.0020,0.00032,0.12,10,16,42,7,0.008,0.02,0.18,T60_hold_survivor_extended_flat_to_T80
9,w80_pfb40o9_ref,re,full_t80_bridge_candidate,published_baby_boom,return_to_steady_state,80,80,terminal_fixed_point,1.00,0.10,220,0.25,0.006,4,block_vote,4,4,re_source,pfb80_from40_o9,9,none,,,18,basis_broyden,6,0.20,0.36,0.0018,0.00030,0.14,12,18,42,8,0.007,0.02,0.18,refocus_best_bridge_T40_to_T80_outer9
10,w80_pfb40o9_soft,re,full_t80_bridge_candidate,published_baby_boom,return_to_steady_state,80,120,soft_reference,0.35,0.10,220,0.25,0.006,4,block_vote,4,4,re_source,pfb80_from40_o9,9,none,,,18,basis_broyden,6,0.20,0.36,0.0018,0.00030,0.16,12,18,42,8,0.007,0.02,0.18,soft_terminal_refocus_best_bridge_T40_to_T80
