period,year,log_price_realized,log_price_belief_guess,log_price_nore,age_signal,pressure,restriction,least_squares_learning_pred,restricted_heuristic_pred,price_only_ar1_pred
1,2001,2.19514371618,2.19415498681,2.19570729004,0,0.316746082521,-0.00190047649512,,,
2,2002,2.19514371618,2.19415445443,2.19570729004,1,0.316746082521,-0.00190047649512,,,
3,2003,2.19514371618,2.19415392206,2.19570729004,2,0.316746082521,-0.00190047649512,,2.19514371618,
4,2004,2.19514371618,2.19415338968,2.19570729004,3,0.316746082521,-0.00190047649512,,2.19514371618,
5,2005,2.19324323969,2.1941528573,2.19682731904,4,0.240225024336,-0.00144135014602,,2.19514371618,
6,2006,2.19324323969,2.19415232493,2.19682731904,5,0.240225024336,-0.00144135014602,,2.19324323969,
7,2007,2.19324323969,2.19415179255,2.19682731904,6,0.240225024336,-0.00144135014602,,2.19324323969,
8,2008,2.19324323969,2.19415126017,2.19682731904,7,0.240225024336,-0.00144135014602,,2.19324323969,
9,2009,2.19370236604,2.1941507278,2.19791498675,8,0.168751887377,-0.00101251132426,2.19244505955,2.19324323969,2.19324245146
10,2010,2.19370236604,2.19415019542,2.19791498675,9,0.168751887377,-0.00101251132426,2.19294732142,2.19370236604,2.19367409318
11,2011,2.19370236604,2.19414966304,2.19791498675,10,0.168751887377,-0.00101251132426,2.19327941664,2.19370236604,2.19367795336
12,2012,2.19370236604,2.19414913067,2.19791498675,11,0.168751887377,-0.00101251132426,2.1934241575,2.19370236604,2.19368088609
13,2013,2.19413120486,2.19414859829,2.19794152938,12,0.205958822975,-0.00123575293785,2.19350384054,2.19370236604,2.19368318976
14,2014,2.19413120486,2.19414806591,2.19794152938,13,0.205958822975,-0.00123575293785,2.19402656775,2.19413120486,2.19401318566
15,2015,2.19413120486,2.19410635653,2.19794152938,14,0.205958822975,-0.00123575293785,2.19407690435,2.19413120486,2.19402239446
16,2016,2.19413120486,2.19406464714,2.19794152938,15,0.205958822975,-0.00123575293785,2.19410525327,2.19413120486,2.19403027018
17,2017,2.19390796325,2.19402293775,2.19760313817,16,0.21999710908,-0.00131998265448,2.19412358611,2.19413120486,2.19403708277
18,2018,2.19390796325,2.19398122837,2.19760313817,17,0.21999710908,-0.00131998265448,2.19391763217,2.19390796325,2.19387919097
19,2019,2.19390796325,2.19393951898,2.19760313817,18,0.21999710908,-0.00131998265448,2.19391995166,2.19390796325,2.19388095266
20,2020,2.19390796325,2.19389780959,2.19760313817,19,0.21999710908,-0.00131998265448,2.19392165985,2.19390796325,2.19388251107
21,2021,2.19382373353,2.1938561002,2.19662564793,20,0.303023287197,-0.00181813972318,2.19392291571,2.19390796325,2.19388389946
22,2022,2.19382373353,2.19381439082,2.19662564793,21,0.303023287197,-0.00181813972318,2.19384904286,2.19382373353,2.1938243326
23,2023,2.19382373353,2.19377268143,2.19662564793,22,0.303023287197,-0.00181813972318,2.19384661216,2.19382373353,2.19382430132
24,2024,2.19382373353,2.19373097204,2.19662564793,23,0.303023287197,-0.00181813972318,2.19384450389,2.19382373353,2.19382427315
25,2025,2.19332557646,2.19368926266,2.19535776265,24,0.403300270041,-0.00241980162025,2.19384266445,2.19382373353,2.19382424764
26,2026,2.19332557646,2.19364755327,2.19535776265,25,0.403300270041,-0.00241980162025,2.19342469088,2.19332557646,2.19346270867
27,2027,2.19332557646,2.19360584388,2.19535776265,26,0.403300270041,-0.00241980162025,2.19340414923,2.19332557646,2.19345068659
28,2028,2.19332557646,2.19356413449,2.19535776265,27,0.403300270041,-0.00241980162025,2.19338703752,2.19332557646,2.19344060251
29,2029,2.19272391456,2.19352242511,2.194215773,28,0.461304629343,-0.00276782777606,2.19337252017,2.19332557646,2.19343202277
30,2030,2.19272391456,2.19348071572,2.194215773,29,0.461304629343,-0.00276782777606,2.19286510149,2.19272391456,2.19293257676
31,2031,2.19272391456,2.19343900633,2.194215773,30,0.461304629343,-0.00276782777606,2.19282988107,2.19272391456,2.19290108071
32,2032,2.19272391456,2.19339729694,2.194215773,31,0.461304629343,-0.00276782777606,2.19280237995,2.19272391456,2.19287784589
33,2033,2.19237588841,2.19335558756,2.19372272059,32,0.472345479672,-0.00283407287803,2.19277989667,2.19272391456,2.19285999883
34,2034,2.19237588841,2.19331387817,2.19372272059,33,0.472345479672,-0.00283407287803,2.19246644809,2.19237588841,2.19252009777
35,2035,2.19237588841,2.19327216878,2.19372272059,34,0.472345479672,-0.00283407287803,2.19243976797,2.19237588841,2.19250004422
36,2036,2.19237588841,2.1932304594,2.19372272059,35,0.472345479672,-0.00283407287803,2.19241780229,2.19237588841,2.19248488703
37,2037,2.19230964331,2.19318875001,2.19357081491,36,0.400690170092,-0.00240414102055,2.19239908186,2.19237588841,2.19247302803
38,2038,2.19230964331,2.19314704062,2.19357081491,37,0.400690170092,-0.00240414102055,2.19232701448,2.19230964331,2.19239941824
39,2039,2.19230964331,2.19310533123,2.19357081491,38,0.400690170092,-0.00240414102055,2.19231115023,2.19230964331,2.19239081707
40,2040,2.19230964331,2.19306362185,2.19357081491,39,0.400690170092,-0.00240414102055,2.19229702279,2.19230964331,2.19238371993
