vote_weight,period_index,year,price_guess,housing_candidate_price,implied_price,weighted_vote_share,adjusted_price,adjustment,equal_weight_vote,weighted_vote,excess_demand,housing_push_up,political_push_down,conflict
0,1,2010,2.00033601210982,2.00062479495736,2.00033601210982,-0.928211545030494,2.00062479495736,0,-0.970803997816276,-0.94871490033345,-5.54601198713561e-06,0,1,0
0,2,2011,2.00040274018893,2.00077157632939,2.08956545466921,-0.925081412491502,2.00077157632939,0,-0.969501615629536,-0.946427161297523,0.00170526718556804,1,1,1
0,3,2012,2.00044992543386,2.00088703678943,2.16815056676778,-0.922332499170774,2.00088703678943,0,-0.968355722004997,-0.944414378426825,0.00321225983533223,1,1,1
0,4,2013,2,2,2.15075409463941,-0.922941013184957,2,0,-0.968609699527889,-0.944860304185179,0.00289519970841642,1,1,1
0.0005,1,2010,2.00033601210982,2.00062479495736,2.00033601210982,-0.928211545030494,1.99969650886951,-0.000928286087848562,-0.970803997816276,-0.94871490033345,-5.54601198713561e-06,0,1,0
0.0005,2,2011,2.00040274018893,2.00077157632939,2.08956545466921,-0.925081412491502,1.99984635202489,-0.000925224304504813,-0.969501615629536,-0.946427161297523,0.00170526718556804,1,1,1
0.0005,3,2012,2.00044992543386,2.00088703678943,2.16815056676778,-0.922332499170774,1.99996450795476,-0.000922528834669034,-0.968355722004997,-0.944414378426825,0.00321225983533223,1,1,1
0.0005,4,2013,2,2,2.15075409463941,-0.922941013184957,1.99907727190909,-0.000922728090910319,-0.968609699527889,-0.944860304185179,0.00289519970841642,1,1,1
0.001,1,2010,2.00033601210982,2.00062479495736,2.00033601210982,-0.928211545030494,1.99876865350464,-0.00185614145272339,-0.970803997816276,-0.94871490033345,-5.54601198713561e-06,0,1,0
0.001,2,2011,2.00040274018893,2.00077157632939,2.08956545466921,-0.925081412491502,1.99892155557533,-0.00185002075406393,-0.969501615629536,-0.946427161297523,0.00170526718556804,1,1,1
0.001,3,2012,2.00044992543386,2.00088703678943,2.16815056676778,-0.922332499170774,1.99904240446117,-0.00184463232825904,-0.968355722004997,-0.944414378426825,0.00321225983533223,1,1,1
0.001,4,2013,2,2,2.15075409463941,-0.922941013184957,1.99815496953174,-0.00184503046825557,-0.968609699527889,-0.944860304185179,0.00289519970841642,1,1,1
0.002,1,2010,2.00033601210982,2.00062479495736,2.00033601210982,-0.928211545030494,1.99691423414448,-0.00371056081287802,-0.970803997816276,-0.94871490033345,-5.54601198713561e-06,0,1,0
0.002,2,2011,2.00040274018893,2.00077157632939,2.08956545466921,-0.925081412491502,1.99707324544972,-0.00369833087967275,-0.969501615629536,-0.946427161297523,0.00170526718556804,1,1,1
0.002,3,2012,2.00044992543386,2.00088703678943,2.16815056676778,-0.922332499170774,1.99719947271289,-0.00368756407654347,-0.968355722004997,-0.944414378426825,0.00321225983533223,1,1,1
0.002,4,2013,2,2,2.15075409463941,-0.922941013184957,1.9963116411322,-0.00368835886779673,-0.968609699527889,-0.944860304185179,0.00289519970841642,1,1,1
0.005,1,2010,2.00033601210982,2.00062479495736,2.00033601210982,-0.928211545030494,1.9913612926496,-0.00926350230776429,-0.970803997816276,-0.94871490033345,-5.54601198713561e-06,0,1,0
0.005,2,2011,2.00040274018893,2.00077157632939,2.08956545466921,-0.925081412491502,1.99153856303354,-0.00923301329584669,-0.969501615629536,-0.946427161297523,0.00170526718556804,1,1,1
0.005,3,2012,2.00044992543386,2.00088703678943,2.16815056676778,-0.922332499170774,1.99168086527734,-0.00920617151209324,-0.968355722004997,-0.944414378426825,0.00321225983533223,1,1,1
0.005,4,2013,2,2,2.15075409463941,-0.922941013184957,1.99079185265126,-0.00920814734873576,-0.968609699527889,-0.944860304185179,0.00289519970841642,1,1,1
