case_name,policy_reference_blend_weight,k,status,iterations_completed,converged,looks_stable,residual_norm,max_abs_gap,max_abs_update,price_min,price_max,path_span,policy_reference_price_first_used,policy_reference_price_last_used,warm_start_source,elapsed_seconds
steady_state_blend_alpha_0,0,1,ok,1,1,1,0,0,0,2.00033601210982,2.00033601210982,0,2,2,anchor_prefix_alpha_0.000_transition_re_k_step_policy_bridge_steady_state_fixed_price_2_0_results.final_price_path,13.3142578
steady_state_blend_alpha_0,0,2,ok,1,1,1,3.07657233022951e-11,6.42867981071049e-11,6.42863540178951e-12,2.00033601210982,2.08956545461135,0.0892294425015243,2,2,k_1_final_path_alpha_0.000,0.0440136
steady_state_blend_alpha_0,0,3,ok,1,1,1,7.91614345398992e-10,1.71528879988614e-09,1.71529013215377e-10,2.00033601210982,2.16815056522403,0.167814553114201,2,2,k_2_final_path_alpha_0.000,0.0909378
steady_state_blend_alpha_0,0,4,ok,1,1,1,8.97620956659161e-09,1.92562996659262e-08,2.13958895045607e-09,2.00033601210982,2.1681505653784,0.167814553268577,2,2,k_3_final_path_alpha_0.000,0.0364538
steady_state_blend_alpha_0,0,5,ok,1,1,1,1.02794676120822e-08,1.92562996659262e-08,1.92563032186399e-09,2.00033601210982,2.16815056551734,0.167814553407515,2,2,k_4_final_path_alpha_0.000,0.0549588
steady_state_blend_alpha_0,0,6,ok,1,1,1,4.52162111921499e-07,9.21432657730037e-07,1.02381380706618e-07,2.00033601210982,2.16815056564238,0.16781455353256,2,2,k_5_final_path_alpha_0.000,0.027597
steady_state_blend_alpha_0,0,7,ok,1,1,1,6.68382385499583e-06,1.30782284428754e-05,1.45314187949275e-06,1.96034195050941,2.16815056575492,0.207808615245511,2,2,k_6_final_path_alpha_0.000,0.0381057
steady_state_blend_alpha_0,0,8,ok,15,1,1,4.99430493268065e-05,9.52616285720964e-05,1.05849189706575e-05,1.90817725795784,2.16815056655925,0.259973308601404,2,2,k_7_final_path_alpha_0.000,0.2533942
steady_state_blend_alpha_0,0,9,ok,25,0,1,5.87335050633402e-05,0.000115925198619582,1.28809971351451e-05,1.90808883498396,2.16815056675281,0.260061731768853,2,2,k_8_final_path_alpha_0.000,0.4496974
steady_state_blend_alpha_0_01,0.01,1,ok,1,1,1,0,0,0,2.00033601210982,2.00033601210982,0,2.0000033601211,2.0000033601211,anchor_prefix_alpha_0.010_transition_re_k_step_policy_bridge_steady_state_fixed_price_2_0_results.final_price_path,7.8300266
steady_state_blend_alpha_0_01,0.01,2,ok,1,1,1,3.07657233022951e-11,6.42867981071049e-11,6.42863540178951e-12,2.00033601210982,2.08956545461135,0.0892294425015243,2.0000033601211,2.00089565454605,k_1_final_path_alpha_0.010,7.8037584
steady_state_blend_alpha_0_01,0.01,3,ok,1,1,1,7.91614345398992e-10,1.71528879988614e-09,1.71529013215377e-10,2.00033601210982,2.16815056522403,0.167814553114201,2.0000033601211,2.00168150565053,k_2_final_path_alpha_0.010,8.1346273
steady_state_blend_alpha_0_01,0.01,4,ok,1,1,1,8.97620956659161e-09,1.92562996659262e-08,2.13958895045607e-09,2.00033601210982,2.1681505653784,0.167814553268577,2.0000033601211,2.00150754075383,k_3_final_path_alpha_0.010,6.9223069
steady_state_blend_alpha_0_01,0.01,5,ok,1,1,1,1.02794676120822e-08,1.92562996659262e-08,1.92563032186399e-09,2.00033601210982,2.16815056551734,0.167814553407515,2.0000033601211,2.00005261150008,k_4_final_path_alpha_0.010,5.9667223
steady_state_blend_alpha_0_01,0.01,6,ok,1,1,1,4.52162111921499e-07,9.21432657730037e-07,1.02381380706618e-07,2.00033601210982,2.16815056564238,0.16781455353256,2.0000033601211,2.0003818208557,k_5_final_path_alpha_0.010,6.8657289
