case_name,guess_source,alpha,k,max_iter,period,start_price,final_price,implied_price,policy_reference_price_used,Hdemand,Hsupply,excess_demand
default_same_alpha_k3_iter25,alpha_0_14_k3_extended_with_anchor_period_4,0.14,4,25,1,2.00033601210982,2.00033601210982,2.00033601210982,2.00004704169538,0.0384160194974987,0.0384160194974987,0
default_same_alpha_k3_iter25,alpha_0_14_k3_extended_with_anchor_period_4,0.14,4,25,2,2.08956545466505,2.08956545466891,2.08956545466921,2.01253916365365,0.0401296515994858,0.0401296515994801,5.71764857681956e-15
default_same_alpha_k3_iter25,alpha_0_14_k3_extended_with_anchor_period_4,0.14,4,25,3,1.71722039436911,1.68871499041769,1.68653013555437,1.95642009865848,0.0323894456623014,0.0324314053263381,-4.1959664036674e-05
default_same_alpha_k3_iter25,alpha_0_14_k3_extended_with_anchor_period_4,0.14,4,25,4,2.15075407324352,2.10173478569669,2.23602167668977,2.01424286999754,0.0429423115959119,0.0403633609639092,0.00257895063200271
default_same_alpha_k3_iter50,alpha_0_14_k3_extended_with_anchor_period_4,0.14,4,50,1,2.00033601210982,2.00033601210982,2.00033601210982,2.00004704169538,0.0384160194974987,0.0384160194974987,0
default_same_alpha_k3_iter50,alpha_0_14_k3_extended_with_anchor_period_4,0.14,4,50,2,2.08956545466505,2.08956545466919,2.08956545466921,2.01253916365369,0.0401296515994858,0.0401296515994854,4.02455846426619e-16
default_same_alpha_k3_iter50,alpha_0_14_k3_extended_with_anchor_period_4,0.14,4,50,3,1.71722039436911,1.68668689161978,1.68653013555437,1.95613616482677,0.0323894456623014,0.0323924561285575,-3.0104662561356e-06
default_same_alpha_k3_iter50,alpha_0_14_k3_extended_with_anchor_period_4,0.14,4,50,4,2.15075407324352,2.22610169558063,2.23602167668977,2.03165423738129,0.0429423115959119,0.0427518005090763,0.000190511086835633
restart_from_failed_alpha_0_14_k4,alpha_0_14_k4_final_price_path,0.14,4,25,1,2.00033601210982,2.00033601210982,2.00033601210982,2.00004704169538,0.0384160194974987,0.0384160194974987,0
restart_from_failed_alpha_0_14_k4,alpha_0_14_k4_final_price_path,0.14,4,25,2,2.08956545466891,2.08956545466919,2.08956545466921,2.01253916365369,0.0401296515994858,0.0401296515994854,4.02455846426619e-16
restart_from_failed_alpha_0_14_k4,alpha_0_14_k4_final_price_path,0.14,4,25,3,1.68871499041769,1.68668689161978,1.68653013555437,1.95613616482677,0.0323894456623014,0.0323924561285575,-3.0104662561356e-06
restart_from_failed_alpha_0_14_k4,alpha_0_14_k4_final_price_path,0.14,4,25,4,2.10173478569669,2.22610169558063,2.23602167668977,2.03165423738129,0.0429423115959119,0.0427518005090763,0.000190511086835633
restart_from_stable_alpha_0_13_k4,alpha_0_13_k4_final_price_path,0.14,4,25,1,2.00033601210982,2.00033601210982,2.00033601210982,2.00004704169538,0.0384160194974987,0.0384160194974987,0
restart_from_stable_alpha_0_13_k4,alpha_0_13_k4_final_price_path,0.14,4,25,2,2.08956545466891,2.08956545466919,2.08956545466921,2.01253916365369,0.0401296515994858,0.0401296515994854,4.02455846426619e-16
restart_from_stable_alpha_0_13_k4,alpha_0_13_k4_final_price_path,0.14,4,25,3,1.68871499041769,1.68668689161978,1.68653013555437,1.95613616482677,0.0323894456623014,0.0323924561285575,-3.0104662561356e-06
restart_from_stable_alpha_0_13_k4,alpha_0_13_k4_final_price_path,0.14,4,25,4,2.03209860701559,2.22072351191109,2.23602167668977,2.03090129166755,0.0429423115959119,0.0426485136575377,0.000293797938374217
restart_from_alpha_0_14_k5_prefix,alpha_0_14_k5_final_price_path_prefix,0.14,4,25,1,2.00033601210982,2.00033601210982,2.00033601210982,2.00004704169538,0.0384160194974987,0.0384160194974987,0
restart_from_alpha_0_14_k5_prefix,alpha_0_14_k5_final_price_path_prefix,0.14,4,25,2,2.08956545466919,2.0895654546692,2.08956545466921,2.01253916365369,0.0401296515994858,0.0401296515994858,4.85722573273506e-17
restart_from_alpha_0_14_k5_prefix,alpha_0_14_k5_final_price_path_prefix,0.14,4,25,3,1.68668689161978,1.68654138855535,1.68653013555437,1.95611579439775,0.0323894456623014,0.0323896617737459,-2.16111444559242e-07
restart_from_alpha_0_14_k5_prefix,alpha_0_14_k5_final_price_path_prefix,0.14,4,25,4,2.22610169558063,2.2353080527409,2.23602167668977,2.03294312738373,0.0429423115959119,0.0429286066026671,1.37049932448369e-05
restart_from_alpha_0_14_k6_prefix,alpha_0_14_k6_final_price_path_prefix,0.14,4,25,1,2.00033601210982,2.00033601210982,2.00033601210982,2.00004704169538,0.0384160194974987,0.0384160194974987,0
restart_from_alpha_0_14_k6_prefix,alpha_0_14_k6_final_price_path_prefix,0.14,4,25,2,2.0895654546692,2.0895654546692,2.08956545466921,2.01253916365369,0.0401296515994858,0.0401296515994858,4.85722573273506e-17
restart_from_alpha_0_14_k6_prefix,alpha_0_14_k6_final_price_path_prefix,0.14,4,25,3,1.68654138855535,1.68653165566355,1.68653013555437,1.9561144317929,0.0323894456623014,0.0323894748556688,-2.9193367376279e-08
restart_from_alpha_0_14_k6_prefix,alpha_0_14_k6_final_price_path_prefix,0.14,4,25,4,2.2353080527409,2.23592526336845,2.23602167668977,2.03302953687158,0.0429423115959119,0.0429404599989756,1.85159693631698e-06
