re_weight,k,period_index,calendar_year,final_price,implied_price,young_share_25_44,pressure_index
0.25,1,1,2011,2.02974659522652,2.02974660237114,0.388216944957524,-0.00315461282974067
0.25,2,1,2011,2.03256217202926,2.0325621797544,0.388216944957524,-0.00315461282974067
0.25,2,2,2012,2.02351213835112,2.0235121411704,0.385637750044709,-0.00573380774255622
0.25,3,1,2011,2.03282997495739,2.03282998303487,0.388216944957524,-0.00315461282974067
0.25,3,2,2012,2.02576112894883,2.02576113511858,0.385637750044709,-0.00573380774255622
0.25,3,3,2013,2.01881931018344,2.01881931243739,0.383691080647066,-0.00768047714019887
0.25,5,1,2011,2.03285618374765,2.03285619095703,0.388216944957524,-0.00315461282974067
0.25,5,2,2012,2.02598133929559,2.02598134895585,0.385637750044709,-0.00573380774255622
0.25,5,3,2013,2.02067039532862,2.0206704042519,0.383691080647066,-0.00768047714019887
0.25,5,4,2014,2.01551449598613,2.01551450093624,0.3818267996419,-0.00954475814536521
0.25,5,5,2015,2.00989300337228,2.00989300455453,0.379975766516068,-0.0113957912711964
0.25,8,1,2011,2.03285635595442,2.03285635720884,0.388216944957524,-0.00315461282974067
0.25,8,2,2012,2.02598273628283,2.02598273945586,0.385637750044709,-0.00573380774255622
0.25,8,3,2013,2.02068208841856,2.02068209474316,0.383691080647066,-0.00768047714019887
0.25,8,4,2014,2.01561281322947,2.01561282286051,0.3818267996419,-0.00954475814536521
0.25,8,5,2015,2.01071982771193,2.01071983847188,0.379975766516068,-0.0113957912711964
0.25,8,6,2016,2.00694762573282,2.00694763410432,0.378474680111195,-0.0128968776760698
0.25,8,7,2017,2.00546885225926,2.00546885649209,0.37788380747353,-0.0134877503137348
0.25,8,8,2018,2.00492190161871,2.00492190279362,0.377899531218623,-0.0134720265686414
0.5,1,1,2011,2.02974659522652,2.02974660237114,0.388216944957524,-0.00315461282974067
0.5,2,1,2011,2.03538165504993,2.03538166312213,0.388216944957524,-0.00315461282974067
0.5,2,2,2012,2.02351213976076,2.0235121411704,0.385637750044709,-0.00573380774255622
0.5,3,1,2011,2.03645456584048,2.03645457543559,0.388216944957524,-0.00315461282974067
0.5,3,2,2012,2.02801262571413,2.02801262907098,0.385637750044709,-0.00573380774255622
0.5,3,3,2013,2.01881931187391,2.01881931243739,0.383691080647066,-0.00768047714019887
0.5,5,1,2011,2.03668052660895,2.03668053500066,0.388216944957524,-0.00315461282974067
0.5,5,2,2012,2.02896141831731,2.02896142336183,0.385637750044709,-0.00573380774255622
0.5,5,3,2013,2.02280398487298,2.02280398703111,0.383691080647066,-0.00768047714019887
0.5,5,4,2014,2.01669439223119,2.01669439281335,0.3818267996419,-0.00954475814536521
0.5,5,5,2015,2.00989300448064,2.00989300455453,0.379975766516068,-0.0113957912711964
0.5,8,1,2011,2.03668642878282,2.03668643860662,0.388216944957524,-0.00315461282974067
0.5,8,2,2012,2.02898621179325,2.02898622298397,0.385637750044709,-0.00573380774255622
0.5,8,3,2013,2.0229082167993,2.02290822722874,0.383691080647066,-0.00768047714019887
0.5,8,4,2014,2.01713254408582,2.01713255185526,0.3818267996419,-0.00954475814536521
0.5,8,5,2015,2.01173455437567,2.01173455885109,0.379975766516068,-0.0113957912711964
0.5,8,6,2016,2.00773657059178,2.00773657248067,0.378474680111195,-0.0128968776760698
0.5,8,7,2017,2.00605358056136,2.00605358108742,0.37788380747353,-0.0134877503137348
0.5,8,8,2018,2.00492190272019,2.00492190279362,0.377899531218623,-0.0134720265686414
0.75,1,1,2011,2.02974659522652,2.02974660237114,0.388216944957524,-0.00315461282974067
0.75,2,1,2011,2.0382050513257,2.03820505764085,0.388216944957524,-0.00315461282974067
0.75,2,2,2012,2.02351214046558,2.0235121411704,0.385637750044709,-0.00573380774255622
0.75,3,1,2011,2.04062325001769,2.0406232563454,0.388216944957524,-0.00315461282974067
0.75,3,2,2012,2.03026662399236,2.03026662535339,0.385637750044709,-0.00573380774255622
0.75,3,3,2013,2.01881931229652,2.01881931243739,0.383691080647066,-0.00768047714019887
0.75,5,1,2011,2.04144133911381,2.04144135072692,0.388216944957524,-0.00315461282974067
0.75,5,2,2012,2.03255499874066,2.03255500320548,0.385637750044709,-0.00573380774255622
0.75,5,3,2013,2.02522094908231,2.02522095031708,0.383691080647066,-0.00768047714019887
0.75,5,4,2014,2.01787497507445,2.01787497529266,0.3818267996419,-0.00954475814536521
0.75,5,5,2015,2.00989300453606,2.00989300455453,0.379975766516068,-0.0113957912711964
0.75,8,1,2011,2.04149167097651,2.04149168177381,0.388216944957524,-0.00315461282974067
0.75,8,2,2012,2.03269583904363,2.03269584625796,0.385637750044709,-0.00573380774255622
0.75,8,3,2013,2.02561537792946,2.02561538193697,0.383691080647066,-0.00768047714019887
0.75,8,4,2014,2.01897967932742,2.01897968113124,0.3818267996419,-0.00954475814536521
0.75,8,5,2015,2.01298697692054,2.01298697755418,0.379975766516068,-0.0113957912711964
0.75,8,6,2016,2.00866471898302,2.00866471914647,0.378474680111195,-0.0128968776760698
0.75,8,7,2017,2.00663847603497,2.00663847606258,0.37788380747353,-0.0134877503137348
0.75,8,8,2018,2.00492190279133,2.00492190279362,0.377899531218623,-0.0134720265686414
1,1,1,2011,2.02974659522652,2.02974660237114,0.388216944957524,-0.00315461282974067
1,2,1,2011,2.04103236005135,2.04103236848323,0.388216944957524,-0.00315461282974067
1,2,2,2012,2.02351214046558,2.0235121411704,0.385637750044709,-0.00573380774255622
