re_weight,k,status,iterations_completed,converged,looks_stable,max_abs_gap,max_abs_log_gap,price_1,price_k,price_min,price_max,path_span,tail_price,elapsed_seconds
0.25,1,converged,22,1,1,7.14462489170842e-09,3.51995899094959e-09,2.02974659522652,2.02974659522652,2.02974659522652,2.02974659522652,0,2,0.0114194
0.25,2,converged,23,1,1,7.72514230362731e-09,3.80069176131315e-09,2.03256217202926,2.02351213835112,2.02351213835112,2.03256217202926,0.00905003367813784,2,0.0123883
0.25,3,converged,23,1,1,8.0774804622763e-09,3.97351507253063e-09,2.03282997495739,2.01881931018344,2.01881931018344,2.03282997495739,0.0140106647739571,2,0.0019384
0.25,5,converged,23,1,1,9.66025526238923e-09,4.76818573513782e-09,2.03285618374765,2.00989300337228,2.00989300337228,2.03285618374765,0.022963180375362,2,0.0018052
0.25,8,converged,22,1,1,1.07599511522949e-08,5.35129307532856e-09,2.03285635595442,2.00492190161871,2.00492190161871,2.03285635595442,0.0279344543357123,2,0.0088767
0.5,1,converged,22,1,1,7.14462489170842e-09,3.51995899094959e-09,2.02974659522652,2.02974659522652,2.02974659522652,2.02974659522652,0,2,0.0042683
0.5,2,converged,24,1,1,8.07219935339276e-09,3.96593891061059e-09,2.03538165504993,2.02351213976076,2.02351213976076,2.03538165504993,0.0118695152891637,2,0.0028531
0.5,3,converged,25,1,1,9.59511670117763e-09,4.71167715954124e-09,2.03645456584048,2.01881931187391,2.01881931187391,2.03645456584048,0.0176352539665703,2,0.0020222
0.5,5,converged,27,1,1,8.39171132582806e-09,4.12028855478752e-09,2.03668052660895,2.00989300448064,2.00989300448064,2.03668052660895,0.0267875221283087,2,0.0007096
0.5,8,converged,26,1,1,1.11907185740279e-08,5.51542367333013e-09,2.03668642878282,2.00492190272019,2.00492190272019,2.03668642878282,0.0317645260626263,2,0.000616
0.75,1,converged,22,1,1,7.14462489170842e-09,3.51995899094959e-09,2.02974659522652,2.02974659522652,2.02974659522652,2.02974659522652,0,2,0.0003883
0.75,2,converged,25,1,1,6.31515328919363e-09,3.09838954493102e-09,2.0382050513257,2.02351214046558,2.02351214046558,2.0382050513257,0.014692910860115,2,0.0005548
0.75,3,converged,27,1,1,6.32771213204819e-09,3.10087233668099e-09,2.04062325001769,2.01881931229652,2.01881931229652,2.04062325001769,0.0218039377211672,2,0.0006833
0.75,5,converged,29,1,1,1.16131131377983e-08,5.68868319117399e-09,2.04144133911381,2.00989300453606,2.00989300453606,2.04144133911381,0.0315483345777499,2,0.0009859
0.75,8,converged,31,1,1,1.0797294169862e-08,5.28892385442958e-09,2.04149167097651,2.00492190279133,2.00492190279133,2.04149167097651,0.0365697681851858,2,0.0010996
1,1,converged,22,1,1,7.14462489170842e-09,3.51995899094959e-09,2.02974659522652,2.02974659522652,2.02974659522652,2.02974659522652,0,2,0.0005168
1,2,converged,25,1,1,8.43188452392951e-09,4.13118605990803e-09,2.04103236005135,2.02351214046558,2.02351214046558,2.04103236005135,0.0175202195857689,2,0.0007384
1,3,converged,28,1,1,6.07129635454839e-09,2.96835656055094e-09,2.04533933217709,2.01881931236696,2.01881931236696,2.04533933217709,0.0265200198101345,2,0.0007399
1,5,converged,31,1,1,1.07668824966822e-08,5.25877796864194e-09,2.04741147251408,2.00989300454992,2.00989300454992,2.04741147251408,0.0375184679641603,2,0.0007969
1,8,converged,35,1,1,9.48014911017481e-09,4.6297694566988e-09,2.0476503497609,2.00492190279348,2.00492190279348,2.0476503497609,0.0427284469674212,2,0.0007746
1.25,1,converged,22,1,1,7.14462489170842e-09,3.51995899094959e-09,2.02974659522652,2.02974659522652,2.02974659522652,2.02974659522652,0,2,0.000513
1.25,2,converged,25,1,1,1.0554476848057e-08,5.16398301897425e-09,2.04386359069576,2.02351214046558,2.02351214046558,2.04386359069576,0.0203514502301836,2,0.0005361
1.25,3,converged,28,1,1,9.51082990141572e-09,4.63805682748841e-09,2.05060656525491,2.01881931236696,2.01881931236696,2.05060656525491,0.0317872528879506,2,0.0007514
1.25,5,converged,33,1,1,7.91801424426808e-09,3.85320408913259e-09,2.05491690133023,2.00989300455338,2.00989300455338,2.05491690133023,0.0450238967768501,2,0.0009079
1.25,8,converged,38,1,1,9.03978492061697e-09,4.39734038071293e-09,2.05573918981986,2.00492190279361,2.00492190279361,2.05573918981986,0.0508172870262587,2,0.0007843
