config_id,status,residual_norm,max_abs_gap,max_abs_update,accepted_update,worst_gap_period,worst_excess_demand_period,worst_excess_demand,price_min,price_max,damping,smoothing_weight,targeted_correction_weight,line_search_scales,elapsed_seconds
11,ok,0.128123139189984,0.165893855900913,0.000636074117914998,sequential_block_p2_4_6_0.01,3,3,0.00318649080140236,2,2.00178243851863,0.15,8,0.2,[0.1 0.05 0.02 0.01],2366.9843687
3,ok,0.128153521761991,0.165910944575063,0.000214347781824387,sequential_block_p2_4_6_0.01,3,3,0.00318681904082203,2,2.00177491879498,0.1,5,0.35,[0.1 0.05 0.02 0.01],2516.2085719
7,ok,0.128156099489886,0.165900562231755,0.000754133045570704,sequential_block_p2_4_6_0.02,3,3,0.00318661961667056,2,2.00177573218779,0.25,5,0.2,[0.1 0.05 0.02 0.01],2509.7354571
9,ok,0.128164746846221,0.165920550310292,0.000144987953319742,sequential_block_p1_4_6_0.02,3,3,0.00318700354787795,2,2.00175574410925,0.1,5,0.2,[0.1 0.05 0.02 0.01],2737.7307345
6,ok,0.128164790716931,0.165963257682441,0.000272408239903932,sequential_block_p2_4_6_0.02,3,3,0.00318782387149853,2,2.00176688080979,0.1,8,0.35,[0.1 0.05 0.02 0.01],3010.635626
8,ok,0.128169333005901,0.165945727123933,0.000562515450470258,sequential_block_p1_4_6_0.05,3,3,0.00318748714435981,2,2.00175834226776,0.15,5,0.2,[0.1 0.05 0.02 0.01],2423.7867523
12,ok,0.128169549440627,0.165912044870251,0.000866807496446409,sequential_block_p2_4_6_0.02,3,3,0.00318684017530272,2,2.00176424954929,0.1,8,0.2,[0.1 0.05 0.02 0.01],2247.5541107
2,ok,0.128179597334779,0.165937231739179,0.000556102611150244,sequential_block_p1_4_6_0.05,3,3,0.00318732396492664,2,2.00173929613629,0.15,5,0.35,[0.1 0.05 0.02 0.01],2325.8800553
5,ok,0.128180113290788,0.165989224735345,0.000634247413028088,sequential_block_p2_4_6_0.01,3,3,0.00318832264690386,2,2.00176264796084,0.15,8,0.35,[0.1 0.05 0.02 0.01],2729.3547797
4,ok,0.128198783998975,0.165945482107266,0.000712041474303593,sequential_block_p2_4_6_0.02,3,3,0.00318748243807728,2,2.00173081231228,0.25,8,0.35,[0.1 0.05 0.02 0.01],2375.4754979
10,ok,0.128201826001109,0.165972666001085,0.000711775611583754,sequential_block_p2_4_6_0.02,3,3,0.00318800458657478,2,2.00170362841846,0.25,8,0.2,[0.1 0.05 0.02 0.01],2499.2462232
1,ok,0.128266725503159,0.166109183584743,0.000369843189246044,sequential_block_p1_4_6_0.02,3,3,0.00319062681765254,2,2.00171017877711,0.25,5,0.35,[0.1 0.05 0.02 0.01],3036.527043
13,ok,0.12832862889334,0.165900882859994,0.00109342245036181,sequential_block_p2_4_6_0.05,3,3,0.0031866257753009,2,2.00177541155955,0.15,10,0.35,[0.05 0.02 0.01],1385.882776
15,ok,0.128335807366573,0.165937048235159,0.00109101802057676,sequential_block_p2_4_6_0.05,3,3,0.00318732044017964,2,2.00173924618438,0.15,10,0.2,[0.05 0.02 0.01],1370.7749186
14,ok,0.128557971417267,0.165921145370604,0.000378467532209381,sequential_block_p2_4_6_0.05,3,3,0.00318701497780222,2,2.00175514904894,0.1,10,0.35,[0.05 0.02 0.01],1034.1193873
16,ok,0.128564608368653,0.16595747158253,0.0003788724981586,sequential_block_p2_4_6_0.05,3,3,0.00318771273203505,2,2.00172444040069,0.1,10,0.2,[0.05 0.02 0.01],1006.9765937
