fips,cbsa,metarea,metareano,state_fips,year,asfr_15_19,asfr_20_24,asfr_25_29,asfr_30_34,asfr_35_39,asfr_40_44,gfr_15_44,first_birth_proxy,first_births_total,first_birth_rate_15_44,mean_age_first_birth,median_age_first_birth,share_first_birth_15_19,share_first_birth_20_24,share_first_birth_25_29,share_first_birth_30_34,share_first_birth_35_44,share_first_birth_30_plus,completed_fertility_proxy
,,Alabama,,01,2007,,,,,,,,,27293,,23.774301,22.000000,0.263767,0.350346,0.234163,0.105961,0.045763,0.151724,
,,Alabama,,01,2008,,,,,,,,,26925,,23.746722,22.000000,0.262656,0.353426,0.237029,0.102507,0.044383,0.146890,
,,Alabama,,01,2009,,,,,,,,,26397,,23.755067,22.000000,0.260181,0.353184,0.239459,0.106376,0.040800,0.147176,
,,Alabama,,01,2010,,,,,,,,,24849,,23.982897,22.000000,0.243833,0.351282,0.249185,0.111675,0.044026,0.155700,
,,Alabama,,01,2011,,,,,,,,,24583,,24.181630,22.000000,0.225684,0.355856,0.253305,0.121995,0.043160,0.165155,
,,Alabama,,01,2012,,,,,,,,,24022,,24.276809,22.000000,0.217218,0.357797,0.257014,0.124303,0.043668,0.167971,
,,Alabama,,01,2013,,,,,,,,,23516,,24.487285,22.000000,0.194463,0.369408,0.262034,0.127573,0.046522,0.174094,
,,Alabama,,01,2014,,,,,,,,,24171,,24.731869,22.000000,0.175706,0.367010,0.270448,0.139878,0.046957,0.186835,
,,Alabama,,01,2015,,,,,,,,,23087,,24.871118,22.000000,0.174254,0.355135,0.276909,0.141725,0.051977,0.193702,
,,Alabama,,01,2016,,,,,,,,,22378,,24.947985,22.000000,0.168737,0.353338,0.281526,0.142819,0.053579,0.196398,
,,Alabama,,01,2017,,,,,,,,,22354,,25.094278,22.000000,0.160821,0.351347,0.284468,0.147982,0.055382,0.203364,
,,Alabama,,01,2018,,,,,,,,,21948,,25.137188,22.000000,0.150538,0.359577,0.289184,0.145799,0.054902,0.200702,
,,Alabama,,01,2019,,,,,,,,,21588,,25.087132,22.000000,0.154021,0.362146,0.282240,0.149250,0.052344,0.201593,
,,Alabama,,01,2020,,,,,,,,,21496,,25.241138,22.000000,0.148167,0.354345,0.288472,0.150354,0.058662,0.209016,
,,Alabama,,01,2021,,,,,,,,,21849,,25.316674,27.000000,0.143485,0.346606,0.300197,0.151815,0.057897,0.209712,
,,Alabama,,01,2022,,,,,,,,,21902,,25.516688,27.000000,0.132819,0.342161,0.303991,0.160214,0.060816,0.221030,
,,Alabama,,01,2023,,,,,,,,,22204,,25.570303,27.000000,0.132859,0.339939,0.301928,0.161277,0.063997,0.225275,
,,Alabama,,01,2024,,,,,,,,,22025,,25.670897,27.000000,0.127491,0.331260,0.314188,0.161317,0.065743,0.227060,
,,Alaska,,02,2007,,,,,,,,,4356,,24.473140,22.000000,0.212810,0.366621,0.241965,0.115702,0.062902,0.178604,
,,Alaska,,02,2008,,,,,,,,,4306,,24.547840,22.000000,0.205295,0.368788,0.236647,0.130283,0.058987,0.189271,
,,Alaska,,02,2009,,,,,,,,,4258,,24.642790,22.000000,0.209488,0.352983,0.242602,0.131752,0.063175,0.194927,
,,Alaska,,02,2010,,,,,,,,,4346,,24.760354,22.000000,0.183157,0.377128,0.242522,0.138748,0.058445,0.197193,
,,Alaska,,02,2011,,,,,,,,,4458,,24.977344,22.000000,0.160834,0.375729,0.266039,0.138403,0.058995,0.197398,
,,Alaska,,02,2012,,,,,,,,,4187,,25.198352,22.000000,0.162646,0.355863,0.264629,0.154048,0.062813,0.216862,
,,Alaska,,02,2013,,,,,,,,,4148,,25.592334,27.000000,0.143202,0.347396,0.267117,0.169479,0.072806,0.242285,
,,Alaska,,02,2014,,,,,,,,,4139,,25.669365,27.000000,0.130466,0.349118,0.276637,0.178787,0.064992,0.243779,
,,Alaska,,02,2015,,,,,,,,,4129,,25.851417,27.000000,0.136837,0.321870,0.283362,0.185275,0.072657,0.257932,
,,Alaska,,02,2016,,,,,,,,,3895,,25.942490,27.000000,0.126829,0.329910,0.280616,0.185366,0.077279,0.262644,
,,Alaska,,02,2017,,,,,,,,,3631,,26.226384,27.000000,0.115395,0.316166,0.294409,0.187001,0.087028,0.274029,
,,Alaska,,02,2018,,,,,,,,,3509,,26.305500,27.000000,0.103163,0.322599,0.291821,0.204047,0.078370,0.282417,
,,Alaska,,02,2019,,,,,,,,,3341,,26.432954,27.000000,0.099371,0.331338,0.280455,0.194253,0.094582,0.288836,
,,Alaska,,02,2020,,,,,,,,,3258,,26.461633,27.000000,0.100982,0.314917,0.298036,0.197360,0.088705,0.286065,
,,Alaska,,02,2021,,,,,,,,,3264,,26.601716,27.000000,0.098039,0.317708,0.278186,0.207721,0.098346,0.306066,
