Notes,County,County Code,Year,Year Code,Age of Mother 10,Age of Mother 10 Code,Births,pull_year
,"Baldwin County, AL",01003,2007,2007,15 - 17 years,15-17,85,2007
,"Baldwin County, AL",01003,2007,2007,18 - 19 years,18-19,155,2007
,"Baldwin County, AL",01003,2007,2007,20-24 years,20-24,318,2007
,"Baldwin County, AL",01003,2007,2007,25-29 years,25-29,233,2007
,"Baldwin County, AL",01003,2007,2007,30-34 years,30-34,103,2007
,"Baldwin County, AL",01003,2007,2007,35-39 years,35-39,54,2007
,"Calhoun County, AL",01015,2007,2007,15 - 17 years,15-17,74,2007
,"Calhoun County, AL",01015,2007,2007,18 - 19 years,18-19,110,2007
,"Calhoun County, AL",01015,2007,2007,20-24 years,20-24,293,2007
,"Calhoun County, AL",01015,2007,2007,25-29 years,25-29,151,2007
,"Calhoun County, AL",01015,2007,2007,30-34 years,30-34,63,2007
,"Calhoun County, AL",01015,2007,2007,35-39 years,35-39,20,2007
,"Etowah County, AL",01055,2007,2007,15 - 17 years,15-17,51,2007
,"Etowah County, AL",01055,2007,2007,18 - 19 years,18-19,100,2007
,"Etowah County, AL",01055,2007,2007,20-24 years,20-24,186,2007
,"Etowah County, AL",01055,2007,2007,25-29 years,25-29,117,2007
,"Etowah County, AL",01055,2007,2007,30-34 years,30-34,35,2007
,"Jefferson County, AL",01073,2007,2007,Under 15 years,15-,15,2007
,"Jefferson County, AL",01073,2007,2007,15 - 17 years,15-17,342,2007
,"Jefferson County, AL",01073,2007,2007,18 - 19 years,18-19,571,2007
,"Jefferson County, AL",01073,2007,2007,20-24 years,20-24,1242,2007
,"Jefferson County, AL",01073,2007,2007,25-29 years,25-29,1062,2007
,"Jefferson County, AL",01073,2007,2007,30-34 years,30-34,592,2007
,"Jefferson County, AL",01073,2007,2007,35-39 years,35-39,231,2007
,"Jefferson County, AL",01073,2007,2007,40-44 years,40-44,31,2007
,"Lee County, AL",01081,2007,2007,15 - 17 years,15-17,64,2007
,"Lee County, AL",01081,2007,2007,18 - 19 years,18-19,86,2007
,"Lee County, AL",01081,2007,2007,20-24 years,20-24,249,2007
,"Lee County, AL",01081,2007,2007,25-29 years,25-29,221,2007
,"Lee County, AL",01081,2007,2007,30-34 years,30-34,97,2007
,"Lee County, AL",01081,2007,2007,35-39 years,35-39,34,2007
,"Madison County, AL",01089,2007,2007,15 - 17 years,15-17,138,2007
,"Madison County, AL",01089,2007,2007,18 - 19 years,18-19,258,2007
,"Madison County, AL",01089,2007,2007,20-24 years,20-24,657,2007
,"Madison County, AL",01089,2007,2007,25-29 years,25-29,554,2007
,"Madison County, AL",01089,2007,2007,30-34 years,30-34,307,2007
,"Madison County, AL",01089,2007,2007,35-39 years,35-39,132,2007
,"Madison County, AL",01089,2007,2007,40-44 years,40-44,38,2007
,"Mobile County, AL",01097,2007,2007,Under 15 years,15-,16,2007
,"Mobile County, AL",01097,2007,2007,15 - 17 years,15-17,286,2007
,"Mobile County, AL",01097,2007,2007,18 - 19 years,18-19,466,2007
,"Mobile County, AL",01097,2007,2007,20-24 years,20-24,914,2007
,"Mobile County, AL",01097,2007,2007,25-29 years,25-29,534,2007
,"Mobile County, AL",01097,2007,2007,30-34 years,30-34,238,2007
,"Mobile County, AL",01097,2007,2007,35-39 years,35-39,82,2007
,"Mobile County, AL",01097,2007,2007,40-44 years,40-44,11,2007
,"Montgomery County, AL",01101,2007,2007,Under 15 years,15-,16,2007
,"Montgomery County, AL",01101,2007,2007,15 - 17 years,15-17,153,2007
,"Montgomery County, AL",01101,2007,2007,18 - 19 years,18-19,244,2007
,"Montgomery County, AL",01101,2007,2007,20-24 years,20-24,513,2007
,"Montgomery County, AL",01101,2007,2007,25-29 years,25-29,331,2007
,"Montgomery County, AL",01101,2007,2007,30-34 years,30-34,137,2007
,"Montgomery County, AL",01101,2007,2007,35-39 years,35-39,56,2007
,"Morgan County, AL",01103,2007,2007,15 - 17 years,15-17,70,2007
,"Morgan County, AL",01103,2007,2007,18 - 19 years,18-19,107,2007
