fips,cbsa,metarea,metareano,state_fips,year,female_pop_15_44,native_female_pop_15_44,foreign_born_female_pop_15_44,foreign_born_share_15_44,net_migration_rate,international_migration_rate
01001,33860,"Autauga County, AL",33860,01,2010,11321,11048.245497630332,272.7545023696683,0.024092792365486112,0.00312306,0.00043832
01001,33860,"Autauga County, AL",33860,01,2011,11337,11068.351351351352,268.64864864864865,0.023696625972360292,0.00597739,7.245e-05
01001,33860,"Autauga County, AL",33860,01,2012,11232,11057.015873015873,174.984126984127,0.01557907113462669,-0.00613441,-0.00025484
01001,33860,"Autauga County, AL",33860,01,2013,11160,10992.504504504504,167.49549549549548,0.015008556944040814,-0.00389304,0.00020105
01001,33860,"Autauga County, AL",33860,01,2014,11111,10942.0,169.0,0.015210152101521015,0.00196807,0.00012756
01001,33860,"Autauga County, AL",33860,01,2015,11179,10992.0,187.0,0.01672779318364791,-0.00186002,9.118e-05
01001,33860,"Autauga County, AL",33860,01,2016,10989,10856.0,133.0,0.012103012103012104,0.00523153,0.00041635
01001,33860,"Autauga County, AL",33860,01,2017,10943,10799.0,144.0,0.013159097139724024,0.00102808,-3.607e-05
01001,33860,"Autauga County, AL",33860,01,2018,10939,10758.0,181.0,0.016546302221409636,0.00062949,-3.597e-05
01003,19300,"Baldwin County, AL",19300,01,2010,31840,30105.455183164457,1734.5448168355417,0.05447691007649314,0.00445631,0.0001966
01003,19300,"Baldwin County, AL",19300,01,2011,32380,30527.375427128212,1852.6245728717872,0.057215088723650005,0.01619492,0.0009435
01003,19300,"Baldwin County, AL",19300,01,2012,32905,31182.61287490856,1722.387125091441,0.052344237200773164,0.01747106,0.00126747
01003,19300,"Baldwin County, AL",19300,01,2013,33480,31901.74963267705,1578.2503673229503,0.0471400946034334,0.02259783,0.00105703
01003,19300,"Baldwin County, AL",19300,01,2014,34268,32695.0,1573.0,0.04590288315629742,0.02002119,0.00056228
01003,19300,"Baldwin County, AL",19300,01,2015,34684,33129.0,1555.0,0.04483335255449199,0.01776398,0.00086702
01003,19300,"Baldwin County, AL",19300,01,2016,35134,33715.0,1419.0,0.04038822792736381,0.02124095,0.00106879
01003,19300,"Baldwin County, AL",19300,01,2017,35639,34115.0,1524.0,0.04276214259659362,0.02227459,0.00053147
01003,19300,"Baldwin County, AL",19300,01,2018,36343,34557.0,1786.0,0.04914288858927442,0.02453881,0.00054123
01005,21640,"Barbour County, AL",21640,01,2010,4696,4457.046272493573,238.95372750642676,0.0508845245967689,-0.00256129,-3.659e-05
01005,21640,"Barbour County, AL",21640,01,2011,4552,4353.1140456182475,198.8859543817527,0.04369199349335516,0.00025594,-0.00014625
01005,21640,"Barbour County, AL",21640,01,2012,4439,4260.619537275064,178.38046272493574,0.04018483053051042,-0.00680798,-0.0004048
01005,21640,"Barbour County, AL",21640,01,2013,4404,4169.9701492537315,234.02985074626864,0.053140293084983796,-0.00812797,-0.00037114
01005,21640,"Barbour County, AL",21640,01,2014,4276,4057.0,219.0,0.05121608980355472,-0.00511996,0.00014949
01005,21640,"Barbour County, AL",21640,01,2015,4220,4023.0,197.0,0.04668246445497631,-0.01566897,0.00057047
01005,21640,"Barbour County, AL",21640,01,2016,4184,3984.0,200.0,0.04780114722753346,-0.01831984,0.00077462
01005,21640,"Barbour County, AL",21640,01,2017,4090,3924.0,166.0,0.04058679706601467,-0.02535973,0.00047699
01005,21640,"Barbour County, AL",21640,01,2018,4019,3874.0,145.0,0.03607862652401095,-0.00864113,0.0004823
01007,13820,"Bibb County, AL",13820,01,2010,4025,4001.098039215686,23.901960784313726,0.005938375350140056,-0.00257957,0.0
01007,13820,"Bibb County, AL",13820,01,2011,4213,4187.59793814433,25.402061855670105,0.006029447390379802,-0.00505561,0.00043962
01007,13820,"Bibb County, AL",13820,01,2012,3904,3869.3368421052633,34.66315789473684,0.00887888265746333,-0.00379456,0.00088246
01007,13820,"Bibb County, AL",13820,01,2013,3870,3793.7126865671644,76.28731343283582,0.019712484091172044,-0.00568485,0.00088826
01007,13820,"Bibb County, AL",13820,01,2014,3838,3743.0,95.0,0.024752475247524754,0.00106473,0.00062109
01007,13820,"Bibb County, AL",13820,01,2015,4094,4032.0,62.0,0.015144113336590131,0.00150696,0.00048755
01007,13820,"Bibb County, AL",13820,01,2016,3761,3669.0,92.0,0.024461579367189578,-0.00075301,0.00070872
01007,13820,"Bibb County, AL",13820,01,2017,3709,3630.0,79.0,0.02129954165543273,-0.00314786,0.00044336
01007,13820,"Bibb County, AL",13820,01,2018,3749,3658.0,91.0,0.024273139503867697,-0.00660714,0.00044643
01009,13820,"Blount County, AL",13820,01,2010,10652,9913.248598130842,738.7514018691588,0.06935330471922257,0.00012201,-3.486e-05
01009,13820,"Blount County, AL",13820,01,2011,10710,9977.421621621621,732.5783783783784,0.06840134251898958,0.00024325,-0.00022587
01009,13820,"Blount County, AL",13820,01,2012,10734,9966.587800369685,767.4121996303141,0.07149359042577921,-0.00163279,8.685e-05
01009,13820,"Blount County, AL",13820,01,2013,10546,9851.420231907237,694.579768092763,0.06586191618554552,-0.00029508,0.00081582
01009,13820,"Blount County, AL",13820,01,2014,10487,9845.0,642.0,0.06121865166396491,-0.00198188,0.00074755
01009,13820,"Blount County, AL",13820,01,2015,10447,9798.0,649.0,0.062123097539963625,-0.00128646,0.00027815
01009,13820,"Blount County, AL",13820,01,2016,10321,9665.0,656.0,0.06355973258405194,-0.00102578,0.00073022
01009,13820,"Blount County, AL",13820,01,2017,10157,9565.0,592.0,0.05828492665157035,0.00634652,0.00013834
01009,13820,"Blount County, AL",13820,01,2018,10262,9623.0,639.0,0.062268563632820115,-3.458e-05,0.00013831
01015,11500,"Calhoun County, AL",11500,01,2010,23863,23013.431603773584,849.5683962264151,0.035601910749965014,-0.00097909,-3.376e-05
