t,price,births,fertility_rate,young_share,old_share,theta,average_age,n_home,young_homeownership_proxy,old_homeownership_proxy,aggregate_homeownership_proxy,age_share_15,age_share_25,age_share_35,age_share_45,age_share_55,age_share_65,age_share_75,age_share_85,boom_generation_age,parent_generation_age,child_generation_age,boom_generation_homeownership_proxy_level,parent_generation_homeownership_proxy_level,child_generation_homeownership_proxy_level,boom_generation_housing_burden_proxy_level,parent_generation_housing_burden_proxy_level,child_generation_housing_burden_proxy_level
0,0,0.0902,0.22,0.27,0.32,0.4475,47.4,0,0.386296296296296,0.7288,0.4863,0.14,0.13,0.14,0.14,0.13,0.12,0.11,0.09,-4.5,20.5,-29.5,NaN,0.2015,NaN,NaN,1,NaN
1,-0.021891625,0.0910948644301474,0.220965343251131,0.23003854207763,0.357702851709103,0.487426785226549,50.091701819874,0.0902,0.38680541391265,0.729312335147624,0.518112710043893,0.0912465984846186,0.138791943593012,0.130850859356823,0.140916310076578,0.140491436779865,0.130193317350005,0.119571484932172,0.107938049426927,-3.5,21.5,-28.5,NaN,0.236105168421163,NaN,NaN,0.980925212022581,NaN
2,-0.0438216798925135,0.0931861619065065,0.221936628148554,0.18573352950212,0.394389126753916,0.527090184653206,51.9594280152043,0.181294864430147,0.398093409472526,0.730814662240746,0.531558930311405,0.0937275417467254,0.092005987755395,0.14208906978189,0.133959338019588,0.143828935942485,0.143106177470412,0.131946615964043,0.119336333319461,-2.5,22.5,-27.5,NaN,0.271489960144516,NaN,NaN,0.962969088874967,NaN
3,-0.0660292901582056,0.084753058854011,0.222924556906475,0.192310439925399,0.427502379128144,0.55590557522652,53.290361385116,0.184281026336654,0.393506553549846,0.732348928543149,0.537987924791527,0.0968479995625427,0.0954624403628564,0.0951433421141613,0.146934230116437,0.138109608715858,0.147986020626347,0.146498723936635,0.133017634565162,-1.5,23.5,-26.5,NaN,0.307731149378089,NaN,NaN,0.942686384746122,NaN
4,-0.0862932550984079,0.0798948372560012,0.223829857245862,0.191198305729168,0.451857190802549,0.577991725862919,54.4273442764004,0.177939220760517,0.396220315194185,0.730820408302637,0.547169381306263,0.0901940977651057,0.101004207964062,0.10108305294733,0.100745166915445,0.155116283605509,0.145506309766976,0.155124237470939,0.151226643564634,-0.5,24.5,-25.5,NaN,0.344569968433024,NaN,NaN,0.924285594191704,NaN
5,-0.105734033089447,0.0737883437201143,0.22470183665564,0.183584943401043,0.488031698374804,0.611690787027167,55.0577975648986,0.164647896110012,0.400939517725098,0.738238345072068,0.546699408364931,0.0871585973232159,0.0964263460778268,0.109636222630676,0.109721805858475,0.109025329735002,0.167526726178174,0.156354207632035,0.164150764564595,0.5,25.5,-24.5,NaN,0.368006626764251,NaN,NaN,0.907307880448695,NaN
6,-0.123937152411077,0.0788530717474927,0.225521382448314,0.177347768965084,0.473004357775871,0.599101756653521,55.4520183493714,0.153683180976115,0.403108846226488,0.732388964281578,0.546800695793814,0.0821977909733337,0.0951499779917507,0.106878703036691,0.121520494732333,0.121248675490021,0.120236129508006,0.183819980700156,0.168948247567709,1.5,26.5,-23.5,NaN,0.377378193913623,NaN,NaN,0.892264915079531,NaN
7,-0.144443566692518,0.0811121236424698,0.226448208717078,0.177563101025688,0.464244073771572,0.591185201240562,55.4349879080363,0.152641415467607,0.406554361795255,0.732862067650884,0.541491259256417,0.0878343116810485,0.08972878934464,0.105457472676324,0.118456757879125,0.13427859464729,0.133708120441116,0.131921871638969,0.198614081691486,2.5,27.5,-22.5,NaN,0.387009107766003,NaN,NaN,0.875866250860071,NaN
8,-0.166346209242413,0.0813508291297012,0.22744234738808,0.191838787539029,0.450484508610855,0.576660239618916,54.0139157747797,0.159965195389963,0.407323431590007,0.735097672732616,0.545794664115106,0.093070607133458,0.0987681804055714,0.102442852732767,0.120400201784243,0.134833649333105,0.152534736731812,0.151119597890645,0.146830173988399,3.5,28.5,-21.5,NaN,0.396762308424035,NaN,NaN,0.859187617172472,NaN
9,-0.189071894626983,0.0791650074742713,0.228478456880203,0.187052873108873,0.466459284863291,0.591755425410631,54.7422988785682,0.162462952772171,0.410955120234836,0.735370567119332,0.549071267130757,0.0881832649019242,0.0988696082069487,0.106528135068984,0.110491516680332,0.129468190278521,0.144696382674831,0.162865530336553,0.158897371851907,4.5,29.5,-20.5,NaN,0.406548697703259,NaN,NaN,0.841867354060485,NaN
10,-0.211709775818131,0.0793431952319504,0.229515255834569,0.182313320804648,0.471987675687107,0.597441909997699,55.0935789415464,0.160515836603972,0.41485390407378,0.736434726258186,0.547502440565153,0.0871629051687562,0.0951504156358915,0.108313934986743,0.116704027712633,0.120681040808869,0.141122646383024,0.156925074871819,0.173939954432265,5.5,30.5,-19.5,NaN,0.416237075681682,NaN,NaN,0.824591430388686,NaN
11,-0.235119139317097,0.082108466429694,0.230592336454762,0.18436496275094,0.459558735269258,0.585948117329691,54.8140761007265,0.158508202706222,0.417503539593178,0.735176951815215,0.547189405377966,0.0887827924640993,0.0955821702868408,0.105938272106138,0.120594230102173,0.129543799771491,0.133688286329677,0.155543568044404,0.170326880895177,6.5,31.5,-18.5,NaN,0.425933468007156,NaN,NaN,0.806995053827831,NaN
