t,price,births,fertility_rate,young_share,old_share,theta,average_age,n_home,young_homeownership_proxy,old_homeownership_proxy,aggregate_homeownership_proxy,age_share_15,age_share_25,age_share_35,age_share_45,age_share_55,age_share_65,age_share_75,age_share_85,boom_generation_age,parent_generation_age,child_generation_age,boom_generation_homeownership_proxy_level,parent_generation_homeownership_proxy_level,child_generation_homeownership_proxy_level,boom_generation_housing_burden_proxy_level,parent_generation_housing_burden_proxy_level,child_generation_housing_burden_proxy_level
0,0,0.0902,0.22,0.27,0.32,0.4475,47.4,0,0.386296296296296,0.7288,0.4863,0.14,0.13,0.14,0.14,0.13,0.12,0.11,0.09,-4.5,20.5,-29.5,NaN,0.2015,NaN,NaN,1,NaN
1,-0.024259375,0.0902,0.218794704684318,0.23003854207763,0.357702851709103,0.487426785226549,50.091701819874,0.0902,0.387112660506783,0.729361372260573,0.518239315250366,0.0912465984846186,0.138791943593012,0.130850859356823,0.140916310076578,0.140491436779865,0.130193317350005,0.119571484932172,0.107938049426927,-3.5,21.5,-28.5,NaN,0.236279234074677,NaN,NaN,0.978605373834047,NaN
2,-0.0498623507418261,0.0902,0.214626847160847,0.184983121976059,0.39475258586667,0.527529858983595,51.9934888956978,0.1804,0.398868364881932,0.730937216382741,0.532321601999203,0.0928923438134006,0.0920907781626582,0.142220015499538,0.13408279158065,0.143961485077083,0.143238060528957,0.132068214651015,0.119446310686699,-2.5,22.5,-27.5,NaN,0.27204288140529,NaN,NaN,0.957141026889524,NaN
3,-0.0771606123325215,0.0902,0.236272278669209,0.188962812568781,0.429274246353042,0.558002399832421,53.4396467191036,0.1804,0.39512737184059,0.73256987831583,0.540306148438507,0.0940463652436791,0.0949164473251015,0.0955376823045087,0.147543227771819,0.13868203100185,0.148599377633215,0.147105916551474,0.133568952168353,-1.5,23.5,-26.5,NaN,0.308959672759529,NaN,NaN,0.932114433444477,NaN
4,-0.102600765135311,0.0902,0.253679156286545,0.193063365613532,0.451369384319955,0.57727294104593,54.3317107391129,0.1804,0.398755563993136,0.731155761473916,0.545733886310329,0.0954913155429382,0.0975720500705938,0.0999820170690383,0.100636406567017,0.154948826430458,0.145349227125364,0.154956771709221,0.151063385485371,-0.5,24.5,-25.5,NaN,0.346681484594033,NaN,NaN,0.909429491753002,NaN
5,-0.12696939967299,0.0902,0.28212240042382,0.198242165509861,0.482038450759897,0.604098280857428,54.5196249502051,0.1804,0.402155583441701,0.738617162427117,0.541114443056807,0.0972973034645986,0.100944862045263,0.104723169385307,0.107309764440023,0.107686449904912,0.165469423024621,0.154434108005122,0.162134919730155,0.5,25.5,-24.5,NaN,0.370950126495003,NaN,NaN,0.888957737130625,NaN
6,-0.149396318986669,0.0902,0.2656034692207,0.202558053182262,0.457837948930762,0.581670446060347,54.2364277913975,0.1804,0.405355927354486,0.733043373277103,0.535139612017123,0.0984672742550477,0.104090778927214,0.109645971048454,0.113749955826133,0.116208071012388,0.116380878984213,0.177925977959235,0.163531091987314,1.5,26.5,-23.5,NaN,0.380883992841968,NaN,NaN,0.871325907090961,NaN
7,-0.17429922155764,0.0902,0.253405959037284,0.204158524091285,0.439890888390255,0.565278020937537,53.8578011988726,0.1804,0.408944916507938,0.733795435009921,0.528798917857671,0.098635796306693,0.105522727784592,0.113256557464871,0.119300915497273,0.123393114556316,0.125805464139201,0.125356217997545,0.18872920625351,2.5,27.5,-22.5,NaN,0.391089502637652,NaN,NaN,0.85192370848512,NaN
8,-0.20156332876799,0.0902,0.239052426364597,0.209824589211467,0.412852321574501,0.540093401035331,52.3198320394823,0.1804,0.412736736272784,0.734512115833429,0.533616646875456,0.101283666673641,0.108540922537826,0.117896786513202,0.126537519044364,0.132888783656466,0.137169955805974,0.139145322784518,0.136537042984009,3.5,28.5,-21.5,NaN,0.401534301884392,NaN,NaN,0.830981254588517,NaN
9,-0.231884218318012,0.0902,0.242174520901338,0.201137655071443,0.426403674774947,0.553592659036736,53.0340393918151,0.1804,0.416770616179823,0.735324605853489,0.540293550281025,0.0957606283460917,0.105377026725351,0.114656066616067,0.124539035528901,0.133263568008642,0.139670269277829,0.143441784266218,0.1432916212309,4.5,29.5,-20.5,NaN,0.412293887525334,NaN,NaN,0.80807215378197,NaN
