t,price,births,fertility_rate,young_share,old_share,theta,average_age,n_home,young_homeownership_proxy,old_homeownership_proxy,aggregate_homeownership_proxy,age_share_15,age_share_25,age_share_35,age_share_45,age_share_55,age_share_65,age_share_75,age_share_85,boom_generation_age,parent_generation_age,child_generation_age,boom_generation_homeownership_proxy_level,parent_generation_homeownership_proxy_level,child_generation_homeownership_proxy_level,boom_generation_housing_burden_proxy_level,parent_generation_housing_burden_proxy_level,child_generation_housing_burden_proxy_level
0,0,0.09922,0.242,0.27,0.32,0.4475,47.4,0,0.386296296296296,0.7288,0.4863,0.14,0.13,0.14,0.14,0.13,0.12,0.11,0.09,-4.5,20.5,-29.5,NaN,0.2015,NaN,NaN,1,NaN
1,-0.024259375,0.09922,0.242870245135328,0.237000651596411,0.354468447696857,0.48347150518771,49.7743972733196,0.09922,0.387112660506783,0.729361372260573,0.513734374089035,0.0994636860307754,0.137536965565636,0.129667685830284,0.139642123201845,0.139221091674603,0.129016089419077,0.118490301238033,0.106962057039747,-3.5,21.5,-28.5,NaN,0.236279234074677,NaN,NaN,0.978862411322234,NaN
2,-0.0495722931318134,0.09922,0.240676913047144,0.200517611895829,0.387228471665726,0.518427982714779,51.378716320295,0.19844,0.397241534356871,0.730931332537806,0.525585816515343,0.101148564509967,0.0993690473858626,0.139509255199059,0.131527129446052,0.141217531793333,0.140507895955176,0.129550951015699,0.117169624694851,-2.5,22.5,-27.5,NaN,0.272016315422732,NaN,NaN,0.957995645878702,NaN
3,-0.0762531448173032,0.09922,0.261519075702323,0.204401082986069,0.416200206868067,0.54392002373335,52.5554415282546,0.19844,0.394852730528229,0.732551870485657,0.531660818567108,0.102249186002367,0.102151896983702,0.101890769885002,0.143049629560378,0.134458310700484,0.144073613166502,0.142625637154779,0.129500956546786,-1.5,23.5,-26.5,NaN,0.308859417385561,NaN,NaN,0.933596987627161,NaN
4,-0.101505202737825,0.09922,0.275493901013718,0.208227000184538,0.431619836224884,0.557223802574714,53.2231136340586,0.19844,0.398438536235654,0.731133241115746,0.535434497473183,0.103599677079624,0.104627323104914,0.106127686181008,0.105856395920107,0.148169081489463,0.138989510114387,0.148176679124654,0.144453646985843,-0.5,24.5,-25.5,NaN,0.346539439431607,NaN,NaN,0.911119418266693,NaN
5,-0.126254178983672,0.09922,0.297234242690502,0.21293120249961,0.453257998643968,0.575992518404629,53.2649474964334,0.19844,0.401863180675689,0.737290493780376,0.531532504576401,0.105241732007377,0.107689470492233,0.110422343230824,0.112005807297789,0.111382648327809,0.155589952209578,0.145213508603765,0.152454537830624,0.5,25.5,-24.5,NaN,0.370850830031531,NaN,NaN,0.890411289012971,NaN
6,-0.149881676742683,0.09922,0.282685242064678,0.216454598118326,0.432554316265331,0.55683069492105,52.9557516635771,0.19844,0.405186257880127,0.732924475199876,0.527426228635237,0.106132410136361,0.110322187981965,0.114615967893579,0.117524616739487,0.118850500983278,0.117950975864312,0.163933073691682,0.150670266709337,1.5,26.5,-23.5,NaN,0.380950950041298,NaN,NaN,0.871908142202902,NaN
7,-0.175859632300182,0.09922,0.272969334573655,0.217013033212418,0.419502914064335,0.545000667676039,52.6996712723183,0.19844,0.408867977477034,0.733684191854537,0.523358422072899,0.105949212115732,0.111063821096687,0.117215341172092,0.12177740512735,0.124491306423805,0.12564196502067,0.124061285695313,0.169799663348352,2.5,27.5,-22.5,NaN,0.391303189985036,NaN,NaN,0.851775297005538,NaN
8,-0.203966478388033,0.09922,0.261875281460862,0.221107079891172,0.400010272435841,0.526843183208581,51.5781793514772,0.19844,0.412714931588306,0.734397963913622,0.527461366954331,0.108043436821349,0.113063643069823,0.12033580279287,0.127000872474075,0.131545972406042,0.134206449449743,0.13476282870564,0.131040994280458,3.5,28.5,-21.5,NaN,0.40186062600296,NaN,NaN,0.830328315255985,NaN
9,-0.234686294507643,0.09922,0.264923898769321,0.214438425545065,0.411038926777934,0.537769270268381,52.1511576388332,0.19844,0.416748552420801,0.735190974865077,0.533040235984679,0.103736295363068,0.110702130181996,0.117619022928382,0.125184180904724,0.131719443843895,0.136158344374742,0.138210528941252,0.13667005346194,4.5,29.5,-20.5,NaN,0.412670764130686,NaN,NaN,0.807300024349356,NaN
