t,price,births,fertility_rate,young_share,old_share,theta,average_age,n_home,young_homeownership_proxy,old_homeownership_proxy,aggregate_homeownership_proxy,age_share_15,age_share_25,age_share_35,age_share_45,age_share_55,age_share_65,age_share_75,age_share_85,boom_generation_age,parent_generation_age,child_generation_age,boom_generation_homeownership_proxy_level,parent_generation_homeownership_proxy_level,child_generation_homeownership_proxy_level,boom_generation_housing_burden_proxy_level,parent_generation_housing_burden_proxy_level,child_generation_housing_burden_proxy_level
0,0,0.3485,0.85,0.27,0.32,0.4475,47.4,0,0.386296296296296,0.7288,0.4863,0.14,0.13,0.14,0.14,0.13,0.12,0.11,0.09,-4.5,20.5,-29.5,NaN,0.2015,NaN,NaN,1,NaN
1,-0.01511125,0.27782496410898,0.85,0.389547893457809,0.283599207590449,0.396807102812733,42.8219163799395,0.3485,0.385926100035934,0.729171876666579,0.414636740876716,0.279508834404049,0.11003905905376,0.103743092482536,0.111723330365808,0.111386476103398,0.103221770409759,0.0948004138495224,0.0855770233311678,-3.5,21.5,-28.5,NaN,0.235607197974087,NaN,NaN,0.995009247169075,NaN
2,-0.0217585392092159,0.233220797334164,0.85,0.467900977661559,0.257721613710013,0.361764305689778,40.873601056638,0.62632496410898,0.37287323638245,0.730366710059907,0.410927201654941,0.23560684198833,0.232294135673229,0.09285099885016,0.0875384599217799,0.0939879498564885,0.0935156486009283,0.0862232056692747,0.0779827594398102,-2.5,22.5,-27.5,NaN,0.269476453190476,NaN,NaN,0.999016570853269,NaN
3,-0.0222162951832205,0.305093072414499,0.85,0.405954215751693,0.235112757878308,0.350708349727723,40.549912560304,0.511045761443145,0.387891380378657,0.731478016318572,0.413939017397192,0.203994405212307,0.201959810539385,0.202167950112979,0.0808091691556326,0.0759559071013876,0.0813876205972348,0.0805696545610817,0.0731554827199914,-1.5,23.5,-26.5,NaN,0.302922181318516,NaN,NaN,0.997023972945109,NaN
4,-0.0286345196698971,0.335789361959234,0.85,0.413671717668306,0.19128197414436,0.310103019079678,39.0006854832896,0.538313869748663,0.388794978023665,0.729632355561955,0.388184494864164,0.24991381898582,0.163757898682485,0.164606113139317,0.164775756030683,0.065664439017335,0.061596306862471,0.0656678060791244,0.0640178612027645,-0.5,24.5,-25.5,NaN,0.337153748507995,NaN,NaN,0.993966315595822,NaN
5,-0.0368409746655956,0.330607913555087,0.85,0.460780884905722,0.150268628558881,0.266124632967135,37.6217203854734,0.640882434373734,0.382790156100279,0.717997391403376,0.385129844596377,0.2664439685787,0.194336916327022,0.129289810242068,0.129959490831833,0.129701185461495,0.0515827383212719,0.0481426358749188,0.0505432543626902,0.5,25.5,-24.5,NaN,0.358525571873663,NaN,NaN,0.995450873076181,NaN
6,-0.0437691374334375,0.302144367541005,0.85,0.46645143486209,0.178084603324962,0.290308427763152,37.255247728403,0.666397275514322,0.385500517501519,0.730828795181959,0.390136580634953,0.260616090526573,0.205835344335518,0.152428567723473,0.10140873370284,0.101626660386635,0.101220183669755,0.0400524055324512,0.0368120141227558,1.5,26.5,-23.5,NaN,0.366423793208416,NaN,NaN,0.998211497183796,NaN
7,-0.0490405963386428,0.309870268187766,0.85,0.444693293771968,0.190753449536542,0.304974110517093,38.0951308684432,0.632752281096093,0.387546451106436,0.730996626415975,0.398085278115683,0.240986500104653,0.203706793667315,0.16335079132795,0.120967209198186,0.0802352561653536,0.0802455689284691,0.0795209506337258,0.0309869299743471,2.5,27.5,-22.5,NaN,0.374078672419666,NaN,NaN,0.99882807215879,NaN
8,-0.055550312268253,0.325557362286041,0.85,0.431013051573749,0.185978286913261,0.302728500485872,38.8422959943987,0.612014635728772,0.389562337838133,0.725150460388971,0.395259402795983,0.244595367196635,0.186417684377115,0.159991500951222,0.128295860023258,0.0947213005385091,0.0627001755866069,0.0623915262831132,0.0608865850435406,3.5,28.5,-21.5,NaN,0.381880611296965,NaN,NaN,0.998408711718755,NaN
9,-0.063679815556831,0.320088663934278,0.85,0.451032006975714,0.172393094278077,0.287498983803912,37.8236113899326,0.635427630473808,0.388856912861532,0.726852909924155,0.389559079974688,0.25976820743036,0.191263799545354,0.148002368698107,0.12702186056793,0.101550669480172,0.0748240692541749,0.0492791790109795,0.0482898460129227,4.5,29.5,-20.5,NaN,0.38987348613427,NaN,NaN,1.00001312928653,NaN
