t,price,births,fertility_rate,young_share,old_share,theta,average_age,n_home,young_homeownership_proxy,old_homeownership_proxy,aggregate_homeownership_proxy,age_share_15,age_share_25,age_share_35,age_share_45,age_share_55,age_share_65,age_share_75,age_share_85,boom_generation_age,parent_generation_age,child_generation_age,boom_generation_homeownership_proxy_level,parent_generation_homeownership_proxy_level,child_generation_homeownership_proxy_level,boom_generation_housing_burden_proxy_level,parent_generation_housing_burden_proxy_level,child_generation_housing_burden_proxy_level
0,0,0.38335,0.935,0.27,0.32,0.4475,47.4,0,0.386296296296296,0.7288,0.4863,0.14,0.13,0.14,0.14,0.13,0.12,0.11,0.09,-4.5,20.5,-29.5,NaN,0.2015,NaN,NaN,1,NaN
1,-0.0141964375,0.297297726421572,0.935,0.40614662006117,0.27588789713501,0.387377114412334,42.0654141439361,0.38335,0.385807522637939,0.72915292205913,0.403868719433059,0.299099619249735,0.107047000811435,0.100922227076961,0.108685475313651,0.108357780413208,0.100415080207228,0.0922227076961488,0.0832501092316335,-3.5,21.5,-28.5,NaN,0.23554006714072,NaN,NaN,0.996917821151304,NaN
2,-0.0191319047009164,0.245075758373184,0.935,0.491685082354201,0.246201807086243,0.347828864024489,39.9389970807147,0.680647726421572,0.371197146003471,0.730313346356148,0.400696357078692,0.247583089236538,0.244101993117663,0.0887006851214045,0.0836256094785253,0.0897868159596258,0.0893356259296779,0.0823691453074255,0.0744970358491401,-2.5,22.5,-27.5,NaN,0.269237372354185,NaN,NaN,1.00341693690946,NaN
3,-0.0174682419695043,0.334182692703386,0.935,0.42095069263417,0.221634662763279,0.336328592591826,39.6567751220249,0.542373484794756,0.387276586325837,0.731383515099477,0.40506600577543,0.211530223940674,0.209420468693496,0.209636297213731,0.076176695452909,0.0716016519359121,0.0767219865351173,0.0759509112935583,0.0689617649346033,-1.5,23.5,-26.5,NaN,0.302403586946806,NaN,NaN,1.00293123387216,NaN
4,-0.0223042149359842,0.36719529054775,0.935,0.431755787439122,0.175521976680931,0.29320641089697,37.9291869625671,0.57925845107657,0.387974809416818,0.729501698595428,0.375573186808703,0.266463573038456,0.165292214400665,0.166148376130782,0.166319608476806,0.0602542512723589,0.0565212983874095,0.060257340917076,0.0587433373764459,-0.5,24.5,-25.5,NaN,0.336344309373467,NaN,NaN,1.00196363097158,NaN
5,-0.0285743359453655,0.356712539300847,0.935,0.484494419904495,0.133994842875348,0.247921195602139,36.4933414973832,0.701377983251136,0.38079599096243,0.716662246390737,0.372412357757436,0.283138135645979,0.201356284258516,0.126816786526932,0.127473657630961,0.127220293062264,0.0459964330727268,0.0429288866979786,0.0450695231046424,0.5,25.5,-24.5,NaN,0.357395145113924,NaN,NaN,1.00668875261767,NaN
6,-0.032929750200569,0.325784084632532,0.935,0.48781074536657,0.163757078555856,0.274209758895285,36.195822954694,0.723907829848597,0.383652435885876,0.730608847713319,0.378275523218567,0.274379574762013,0.213431170604557,0.154106753578112,0.0970584223027413,0.0972670001967212,0.0968779608368688,0.0348492782037412,0.0320298395152461,1.5,26.5,-23.5,NaN,0.364952924284909,NaN,NaN,1.0126170412679,NaN
7,-0.0356376332169055,0.336889477314613,0.935,0.463800340937053,0.175890057656943,0.288731000750691,37.0671113963154,0.682496623933379,0.385533618341076,0.730725026504091,0.386164004431175,0.254085842159734,0.209714498777319,0.16562715024409,0.119590134637841,0.0750923165240723,0.0751019682571024,0.0744237967281693,0.0263642926716718,2.5,27.5,-22.5,NaN,0.372275953709049,NaN,NaN,1.01596253227849,NaN
8,-0.0396735660391562,0.354341168040806,0.935,0.451208055785101,0.16981743294131,0.285154481279414,37.7659926549538,0.662673561947145,0.387078553744988,0.724021009629086,0.382762117085402,0.259445137122074,0.191762918663027,0.16069768723216,0.126914925492779,0.0913618985486499,0.0572517525556786,0.0569699237827161,0.0555957566029156,3.5,28.5,-21.5,NaN,0.379765432452962,NaN,NaN,1.01871336172538,NaN
9,-0.0451411816398364,0.346166353789393,0.935,0.472771408999937,0.156997196572906,0.270381765565625,36.7243545724332,0.691230645355419,0.385905652211644,0.726082488105866,0.376673284101832,0.275259757296179,0.197511651703757,0.148220687050666,0.124209215082187,0.0978014922943045,0.070262147686848,0.0438072636221895,0.0429277852638681,4.5,29.5,-20.5,NaN,0.387428824987692,NaN,NaN,1.02412159675935,NaN
