label,I,J,a_price,vote,birth_rate,elapsed
default_50x10,50,10,1.5,0.00598958517229059,0.65546283851515,80.9223349
default_50x10,50,10,1.75,-0.0203739327117653,0.597710229099893,80.3079563
default_50x10,50,10,2,0.0106959465537665,0.529014660128259,80.0889671
default_50x10,50,10,2.25,-0.0384916644445874,0.450613411619141,80.0981465
mid_60x14,60,14,1.5,0.0333737070994515,0.655462838515147,157.0959992
mid_60x14,60,14,1.75,0.0201607473615536,0.597710229099888,156.8768518
mid_60x14,60,14,2,-0.0376417497401953,0.529014660128262,157.8793067
mid_60x14,60,14,2.25,-0.0367675362552887,0.450613411619142,157.5872095
high_80x18,80,18,1.5,0.0242022104206135,0.655462838515149,328.5621925
high_80x18,80,18,1.75,0.0169397862503508,0.59771022909989,328.619536
high_80x18,80,18,2,-0.039912559415198,0.52901466012826,328.8307718
high_80x18,80,18,2.25,-0.0361177744121033,0.450613411619142,329.8246962
