t,price,births,fertility_rate,young_share,old_share,theta,average_age,n_home,young_homeownership_proxy,old_homeownership_proxy,aggregate_homeownership_proxy,age_share_15,age_share_25,age_share_35,age_share_45,age_share_55,age_share_65,age_share_75,age_share_85,boom_generation_age,parent_generation_age,child_generation_age,boom_generation_homeownership_proxy_level,parent_generation_homeownership_proxy_level,child_generation_homeownership_proxy_level,boom_generation_housing_burden_proxy_level,parent_generation_housing_burden_proxy_level,child_generation_housing_burden_proxy_level
0,0,0.0902,0.22,0.27,0.32,0.4475,47.4,0,0.386296296296296,0.7288,0.4863,0.14,0.13,0.14,0.14,0.13,0.12,0.11,0.09,-4.5,20.5,-29.5,NaN,0.2015,NaN,NaN,1,NaN
1,-0.0875665,0.0922992859037626,0.223886862548638,0.23003854207763,0.357702851709103,0.487426785226549,50.091701819874,0.0902,0.395362199660693,0.730670204618601,0.521633392720809,0.0912465984846186,0.138791943593012,0.130850859356823,0.140916310076578,0.140491436779865,0.130193317350005,0.119571484932172,0.107938049426927,-3.5,21.5,-28.5,NaN,0.240966082125462,NaN,NaN,0.918572969028496,NaN
2,-0.186362686718178,0.0957622897322685,0.228354691285429,0.186741343804351,0.393900992934107,0.526499692070043,51.9136834813133,0.182499285903763,0.416516864860783,0.733696107724195,0.537814361124685,0.094849231486187,0.0918921123181637,0.141913206717519,0.133793537091188,0.143650919452835,0.142929055535987,0.131783306173554,0.119188631224566,-2.5,22.5,-27.5,NaN,0.28472342166843,NaN,NaN,0.835074166618028,NaN
3,-0.298574837313161,0.0884286769555952,0.233537464976159,0.195578692575973,0.425772524177953,0.553858467873762,53.1479930380356,0.188061575636031,0.423983831444954,0.736937834230876,0.546626549640326,0.0992454728844506,0.0963332196915227,0.0947583520196745,0.146339672243245,0.137550758983155,0.147387206765097,0.145905928305146,0.132479389107711,-1.5,23.5,-26.5,NaN,0.33394286007525,NaN,NaN,0.747198603706383,NaN
4,-0.417895731797935,0.0849662423314431,0.239177676657733,0.19673081447266,0.448025989261029,0.573713768164027,54.1485123540097,0.184190966687864,0.440034411574555,0.73758163888407,0.558396506414948,0.0936868803189253,0.103043934153735,0.101551140863115,0.0998909699553353,0.15380108544786,0.144272592544749,0.153808971874147,0.149944424842133,-0.5,24.5,-25.5,NaN,0.388611619334028,NaN,NaN,0.663601945432879,NaN
5,-0.551888115793123,0.0805589015263002,0.245673930152193,0.191524967389989,0.480565182849417,0.603779919455977,54.5954427645141,0.173394919287038,0.460053676532475,0.746111301056705,0.561395134818791,0.0920534755097726,0.0994714918802169,0.111080874577096,0.109471650456854,0.107357324726644,0.16496369409216,0.153962106621728,0.161639382135529,0.5,25.5,-24.5,NaN,0.431602423497943,NaN,NaN,0.581013454125884,NaN
6,-0.701527433784959,0.0887799553187167,0.253137554108599,0.188285009970095,0.46099675846862,0.586654331126244,54.7568355362709,0.165525143857743,0.480119149723794,0.743740700888594,0.565989902026799,0.0888207380783855,0.0994642718917099,0.10912457224924,0.121860572252138,0.119733087059906,0.117183837828971,0.179153561381542,0.164659359258108,1.5,26.5,-23.5,NaN,0.459389377536421,NaN,NaN,0.5011634536137,NaN
7,-0.897714939029994,0.0948088508891441,0.263267475942778,0.192790485846001,0.447085839364216,0.573458682550894,54.4293744288083,0.169338856845017,0.507346551690095,0.747594453231475,0.565880044805615,0.0973467990433858,0.0954436868026151,0.108516790877104,0.119056301937411,0.132550581975268,0.129973893271194,0.126564148396419,0.190547797696604,2.5,27.5,-22.5,NaN,0.493307696678232,NaN,NaN,0.412910036500098,NaN
8,-1.15861230029626,0.0996875845389879,0.277369348586011,0.212935339884246,0.42766090823336,0.552954516427387,52.6740866792486,0.183588806207861,0.541352364494054,0.753722647603059,0.57904596206694,0.10613685602882,0.106798483855425,0.106313306049762,0.120875242633015,0.132215203199617,0.146904185470765,0.143320955419589,0.137435767343006,3.5,28.5,-21.5,NaN,0.53535500438558,NaN,NaN,0.319208478061408,NaN
9,-1.53006065249248,0.104364555468497,0.298759731523029,0.214361656603366,0.436312298228285,0.560526819914951,52.9822060759281,0.194496435428132,0.59168215508588,0.760390863460614,0.594531265394316,0.104904354764521,0.109457301838846,0.111825439045814,0.111317424145462,0.126183181977072,0.137742840689738,0.152272978900858,0.146296478637689,4.5,29.5,-20.5,NaN,0.590491437170365,NaN,NaN,0.220945915225359,NaN
