t,price,births,fertility_rate,young_share,old_share,theta,average_age,n_home,young_homeownership_proxy,old_homeownership_proxy,aggregate_homeownership_proxy,age_share_15,age_share_25,age_share_35,age_share_45,age_share_55,age_share_65,age_share_75,age_share_85,boom_generation_age,parent_generation_age,child_generation_age,boom_generation_homeownership_proxy_level,parent_generation_homeownership_proxy_level,child_generation_homeownership_proxy_level,boom_generation_housing_burden_proxy_level,parent_generation_housing_burden_proxy_level,child_generation_housing_burden_proxy_level
0,0,0.09922,0.242,0.27,0.32,0.4475,47.4,0,0.386296296296296,0.7288,0.4863,0.14,0.13,0.14,0.14,0.13,0.12,0.11,0.09,-4.5,20.5,-29.5,NaN,0.2015,NaN,NaN,1,NaN
1,-0.02165485,0.0992935856146112,0.24305036765356,0.237000651596411,0.354468447696857,0.48347150518771,49.7743972733196,0.09922,0.386774694498125,0.729307431098021,0.51359634587719,0.0994636860307754,0.137536965565636,0.129667685830284,0.139642123201845,0.139221091674603,0.129016089419077,0.118490301238033,0.106962057039747,-3.5,21.5,-28.5,NaN,0.236087766729637,NaN,NaN,0.981415205909661,NaN
2,-0.0429506454237286,0.100618589281381,0.244087765487971,0.200577581301652,0.38719942554575,0.518392845795927,51.3759875422321,0.198513585614611,0.396389764862034,0.730796987327079,0.525226435511808,0.101215987616856,0.099361593684796,0.139498790569362,0.131517263557922,0.141206939025313,0.140497356417146,0.129541233361287,0.117160835767318,-2.5,22.5,-27.5,NaN,0.271410289852308,NaN,NaN,0.96436257279016,NaN
3,-0.0641194009816387,0.0928578955610507,0.245123363020639,0.205612386404951,0.415566539925167,0.543168027971908,52.4990196233591,0.199912174895992,0.393258616729484,0.732311005472857,0.53035882645873,0.103540371522258,0.102072014882693,0.101735640666906,0.14283183576799,0.134253597234986,0.143854260353839,0.142408488892996,0.129303790678332,-1.5,23.5,-26.5,NaN,0.307520634781762,NaN,NaN,0.94504656634333,NaN
4,-0.0837997558685806,0.0890890237562574,0.246090087275252,0.204222230977399,0.433759839967981,0.559750521324573,53.4291099063709,0.193476484842431,0.395896975131444,0.730769105387358,0.537759088809237,0.0975860366271437,0.106636194350255,0.106732974144541,0.106381239925149,0.14890371498493,0.139678630601753,0.148911350289769,0.145169859076459,-0.5,24.5,-25.5,NaN,0.344247644863001,NaN,NaN,0.9272007972666,NaN
5,-0.103127504141835,0.0842473506194277,0.247043201695868,0.198201435433585,0.460775820199849,0.584968022864827,53.8653326478232,0.181946919317308,0.400182066533322,0.736866112758486,0.537316638475088,0.0955892873268815,0.102612148106704,0.113844680348441,0.113948002347241,0.113230061670884,0.158170596125625,0.147622046894214,0.15498317718001,0.5,25.5,-24.5,NaN,0.367645999380625,NaN,NaN,0.910478614752026,NaN
6,-0.12179462826515,0.0887649246823654,0.247967242763465,0.193939398291742,0.448090235569864,0.574190302269116,54.1037790866562,0.173336374375685,0.402316847427062,0.732346309657911,0.537894040333366,0.0918302321727388,0.102109166119004,0.111288756602135,0.123471081694641,0.123210527841618,0.122187384504828,0.16982100708744,0.156081843977596,1.5,26.5,-23.5,NaN,0.37708374095615,NaN,NaN,0.895306009267122,NaN
7,-0.142470527219231,0.0905540711434344,0.248994754904064,0.194169352037193,0.442152018755039,0.568811414073956,54.1081841739883,0.173012275301793,0.405618388953699,0.732824053808342,0.534095182663974,0.0964173612728661,0.0977519907643266,0.11035745157477,0.120278561017948,0.13304261661505,0.132494199458348,0.130730358397658,0.178927460899032,2.5,27.5,-22.5,NaN,0.386740001932685,NaN,NaN,0.878975545985117,NaN
8,-0.164363307047579,0.0906483505448032,0.250087382693902,0.205499368267963,0.432033922822721,0.558005625300254,53.0358352000319,0.1793189958258,0.406934603334786,0.734714925947535,0.537144248572376,0.100564711158355,0.104934657109608,0.108015560087781,0.121944544029267,0.132506604792268,0.146272809397462,0.144934149502979,0.14082696392228,3.5,28.5,-21.5,NaN,0.396494195131821,NaN,NaN,0.862392255112761,NaN
9,-0.187049106126374,0.0891577041139738,0.251224647141405,0.201728587828422,0.443379067298306,0.568781872394212,53.5771256601294,0.181202421688238,0.410406178741903,0.73491113187893,0.539914717124372,0.0966500682733462,0.105078519555075,0.111322842659192,0.11459130407065,0.128978198143431,0.139866909873635,0.15361799498706,0.149894162437611,4.5,29.5,-20.5,NaN,0.40627786848616,NaN,NaN,0.845196125423459,NaN
10,-0.209997400497589,0.0813980183560455,0.229436666040904,0.198282903507682,0.446943730226902,0.572506921678059,53.8094933475234,0.179806054658777,0.41411752038464,0.735847922800901,0.538932986621795,0.0961439589757339,0.102138944531948,0.112745742489256,0.119445692656973,0.122581931119188,0.137693875892788,0.148564257008533,0.160685597325581,5.5,30.5,-19.5,NaN,0.416010330141772,NaN,NaN,0.827844646831855,NaN
11,-0.234057756510713,0.0842779964345054,0.230543392301555,0.193197905541966,0.441239691679348,0.568136036680118,53.9135582761131,0.170555722470019,0.416914286980296,0.735051839547349,0.543596063862012,0.0895456520794787,0.103652253462488,0.111800853173878,0.123411008991565,0.130350540613243,0.133503399531716,0.149204364318606,0.158531927829026,6.5,31.5,-18.5,NaN,0.425794628984448,NaN,NaN,0.809099626210409,NaN
12,-0.260055229049425,0.0853855936663904,0.231745223152479,0.188197299925313,0.443356729517573,0.570791461577019,53.9973552126702,0.165676014790551,0.421763742601971,0.735959738300446,0.545828527492551,0.0921969375685139,0.0960003623567986,0.112824683095066,0.121694371397973,0.133926916064076,0.141172571154297,0.143856950044544,0.158327208318732,7.5,32.5,-17.5,NaN,0.435725053897861,NaN,NaN,0.789542531386582,NaN
13,-0.287385977412094,0.0836180412948799,0.233015445678624,0.191975034580882,0.449173040168607,0.575459480964614,54.0541946000155,0.169663590100896,0.423664437847362,0.737048911437706,0.548710110416608,0.0932743460907727,0.0987006884901091,0.104345461401858,0.122632283108662,0.131874180739991,0.144837384546992,0.151902235664491,0.152433419957124,8.5,33.5,-16.5,NaN,0.445707664167436,NaN,NaN,0.770376005934415,NaN
14,-0.315104911178905,0.0825022676932603,0.2343108209442,0.190396780373874,0.457497126698785,0.583187896972825,54.4450378429058,0.16900363496127,0.427619304220224,0.737282641709417,0.551291702406259,0.0909609083033736,0.0994358720705006,0.106831188766431,0.112940951623243,0.132333952537667,0.142020084725199,0.155192847774273,0.160284194199312,9.5,34.5,-15.5,NaN,0.455609680383591,NaN,NaN,0.750874288219777,NaN
15,-0.343418381908381,0.0821248080309448,0.235641415277071,0.188546269999591,0.462937710715849,0.588361999144325,54.5693195383393,0.16612030898814,0.431920438599752,0.738957271267641,0.551252630265439,0.0906265215314318,0.0979197484681594,0.108681492229097,0.116764430883777,0.123070096171686,0.14391163386136,0.153665163718719,0.16536091313577,10.5,35.5,-14.5,NaN,0.464724568747261,NaN,NaN,0.730085166378244,NaN
16,-0.372658902527619,0.0841771070242263,0.237023508182111,0.18888579995464,0.45597176008303,0.582041714081531,54.4980176057816,0.164627075724205,0.435644298994163,0.738148610746118,0.551769857856979,0.0907471571102505,0.0981386428443899,0.107659418833741,0.11949158851417,0.127991432614418,0.134631410464556,0.156635715585996,0.164704634032478,11.5,36.5,-13.5,NaN,0.473029288258415,NaN,NaN,0.708365964620151,NaN
17,-0.403913932079777,0.0849548713840537,0.238509784052603,0.190717473902623,0.453092226728706,0.579175382970442,54.3590567523621,0.166301915055171,0.439848222816706,0.738967465496503,0.551738588574265,0.0927393459813055,0.0979781279213173,0.107580401670385,0.118017155995307,0.13059274170298,0.139600228016517,0.146100821891619,0.16739117682057,12.5,37.5,-12.5,NaN,0.481341291933749,NaN,NaN,0.686268032851691,NaN
18,-0.436821233947261,0.0852274403511621,0.240084703695767,0.194093106412028,0.450917845809394,0.576712095266651,54.0613267376192,0.16913197840828,0.443906802149006,0.740018070401175,0.553777481211812,0.0937739325586255,0.100319173853402,0.107608371823518,0.118154450482733,0.129226225472326,0.142707920170495,0.151780577400793,0.156429348238107,13.5,38.5,-11.5,NaN,0.48959472861166,NaN,NaN,0.663872461213451,NaN
19,-0.471349566904122,0.0854461347894113,0.241748386420782,0.193168237917273,0.453381068762749,0.618755726198883,54.2086760588828,0.170182311735216,0.448752841622162,0.740539205346422,0.555070241738267,0.0929465143633722,0.100221723553901,0.108858084996952,0.11676772082938,0.127824887493645,0.139520979402568,0.153298522656352,0.16056156670383,14.5,39.5,-10.5,NaN,0.497764835083561,NaN,NaN,0.640977531857477,NaN
20,-0.50244721874472,0.0862831021952528,0.243256633283251,0.193339550962537,0.451960554400742,0.657169000562132,54.175308074607,0.170673575140573,0.453070637425514,0.741150737617582,0.555232671154999,0.0935805206950535,0.0997590302674834,0.109213916963633,0.118625158639216,0.126860819033872,0.138593751061224,0.150511187469936,0.162855615869582,15.5,40.5,-9.5,0.0378944110914724,0.505303560305344,NaN,0.605280479417798,0.62094140901529,NaN
21,-0.530021130054067,0.0873571039822997,0.244601846519301,0.195231080952567,0.447628916936261,0.693234233058147,54.0036406167004,0.171729236984664,0.456626272549127,0.741400199203391,0.555848171566385,0.094639883414729,0.100591197537838,0.108873891180369,0.119192659341199,0.129073451589604,0.137756198949973,0.149736723264436,0.160135994721853,16.5,41.5,-8.5,0.0741812180332632,0.51223866391353,NaN,0.589274549354495,0.6037012132794,NaN
22,-0.553809681464674,0.0876939741024404,0.245768364015233,0.196732349069797,0.446452100426701,0.729093066206379,53.8936997404974,0.173640206177552,0.459803934518228,0.742010628730034,0.556527923657682,0.0954223680207392,0.101309981049057,0.109328910693766,0.11833106889163,0.129155570918106,0.139580284824551,0.148217452071967,0.158654363530183,17.5,42.5,-7.5,0.11245450855772,0.518584412208608,NaN,0.575878025359344,0.58923068332079,NaN
23,-0.57350782899934,0.0879495916384056,0.246738510067207,0.197544953988425,0.446006465632089,0.764205713655936,53.8274623426959,0.17505107808474,0.462458367194947,0.742483866395233,0.557265096328969,0.0956001508753713,0.101944803113054,0.109891509932555,0.118589688311182,0.12796738213575,0.139391780001036,0.149881881607665,0.156732804023388,18.5,43.5,-6.5,0.152632163378622,0.524356040095246,NaN,0.565097447283664,0.577415187812369,NaN
24,-0.588941401059024,0.0884068578889707,0.247501298030871,0.197554749668894,0.445247697864356,0.797220293560677,53.8293916390953,0.175643565740846,0.464617416065363,0.742646147462807,0.557454724957869,0.0956566603823183,0.101898089286575,0.110323888165104,0.118923753657642,0.127949910644004,0.137789418496312,0.149332653314061,0.158125626053983,19.5,44.5,-5.5,0.194491470654173,0.529585792359629,NaN,0.5568857818353,0.568186243204408,NaN
25,-0.60018159296518,0.0888858276629116,0.248058316312905,0.198306563853887,0.443367099887386,0.830920953126602,53.750895643477,0.176356449527376,0.466128103037883,0.742828191866744,0.557435654103379,0.0962482742100994,0.102058289643787,0.110381455646794,0.119508731258248,0.128436149353686,0.137905687353861,0.14776075228314,0.157700660250385,20.5,45.5,-4.5,0.237690800642255,0.541915855617889,NaN,0.551103542173446,0.561159347843062,NaN
26,-0.60682270953063,0.0891295438397209,0.248388012057954,0.199258152336342,0.441909941480823,0.8656884007457,53.6662876893761,0.177292685551882,0.466962981532348,0.742943188373127,0.557611418436812,0.0966721755153698,0.102585976820972,0.11044354497126,0.119450554220236,0.128937806991339,0.138290212020362,0.147736354776982,0.155883374683479,21.5,46.5,-3.5,0.281750844247673,0.56123973753609,NaN,0.547901813402834,0.556481365140484,NaN
27,-0.608500565852076,0.0891047492952169,0.248471377924007,0.199532331745115,0.441855943879658,0.901858016211257,53.6459102052662,0.178015371502632,0.467202102629191,0.743026651974987,0.55762747046329,0.096722643577356,0.102809688167759,0.110768826052597,0.119253159161347,0.128589739161283,0.138523018988843,0.147820323055426,0.15551260183539,22.5,47.5,-2.5,0.326092393382787,0.580001490539248,NaN,0.547429042736455,0.554562091129271,NaN
28,-0.604943830868469,0.089102811399478,0.248294691405712,0.199485218476076,0.441655673844153,0.937347921815248,53.641425287216,0.178234293134938,0.466743090685571,0.742945926395988,0.557381662588734,0.0966599390945254,0.102825279381551,0.110969284845633,0.119560107897513,0.128329714936625,0.138097931808175,0.148014357082979,0.155543384952999,23.5,48.5,-1.5,0.370083268605763,0.598298313672199,NaN,0.549819734611338,0.555512117420923,NaN
29,-0.596220218703921,0.0890902372948451,0.247861863779475,0.199423345085637,0.441141621479331,0.929765763037892,53.6352101626915,0.178207560694695,0.465569975899924,0.742724003136274,0.556903647907486,0.0966611762925148,0.102762168793122,0.110989947904124,0.119780614436964,0.128664471093945,0.137823442315521,0.147565241743165,0.155752937420645,24.5,49.5,-0.5,0.413125106752303,0.616256024295437,NaN,0.555076239460991,0.559329055287876,NaN
30,-0.588508103139081,0.0890205437259823,0.247479850600673,0.199456341688738,0.440835409296583,0.923478986910912,53.6200933582014,0.178193048694323,0.464513685610526,0.742584150890718,0.556630368120245,0.0966695015605652,0.102786840128173,0.110947036380866,0.119830146956314,0.128931065677499,0.138214369612256,0.14730540650027,0.155315633184057,25.5,50.5,0.5,0.43695547911596,0.634338681116682,NaN,0.560258632398716,0.562600376063647,NaN
31,-0.581609781968143,0.0888707867397839,0.24713864692949,0.199310330907052,0.441090764413588,0.917637509887473,53.6263451765963,0.178110781020827,0.46357966259448,0.742470554163313,0.556500501304926,0.096555490754319,0.102754840152733,0.110929569842887,0.119736213368615,0.128933121467858,0.138445709056835,0.147664520937603,0.154980534419151,26.5,51.5,1.5,0.442023711337684,0.652547390014679,NaN,0.565469355666032,0.565424893407082,NaN
32,-0.575477556712205,0.0887069577198912,0.246835730752,0.198989078523001,0.441634434735633,0.914479059328453,53.653911869529,0.177891330465766,0.462760452224006,0.742361674551173,0.556352964741935,0.0963748320168218,0.10261424650618,0.110874066921372,0.11969472710033,0.128807692719663,0.138421738964235,0.14788371079663,0.155328984974768,27.5,52.5,2.5,0.447183447665097,0.670893287861702,NaN,0.57027894843762,0.567821873766604,NaN
33,-0.569751920631789,0.088591482273066,0.246553234216919,0.19872983053137,0.441950274296934,0.912167499707169,53.6747331922582,0.177577744459675,0.461991268623448,0.742243723506349,0.556183427785665,0.0962506440695393,0.102479186461831,0.110783912930225,0.119701341619242,0.128834640622228,0.138363951002379,0.147940298516884,0.155646024777671,28.5,53.5,3.5,0.452382326050182,0.689375836952565,NaN,0.574882265919788,0.569994145377047,NaN
34,-0.564309558489819,0.088478262651857,0.246285013821077,0.198565137671947,0.442183354170373,0.911552958486785,53.6878248815698,0.177298439992957,0.461252845168943,0.742140456655191,0.556029365655164,0.0961702245418565,0.102394913130091,0.110689751310526,0.119659846987768,0.128901909859385,0.138457506743447,0.147947573700729,0.155778273726197,29.5,54.5,4.5,0.457603415367674,0.708009839867878,NaN,0.579350730668793,0.572013655936294,NaN
35,-0.558906967790714,0.0883477935013229,0.246019042115581,0.198409433019373,0.442480992609482,0.910009061716614,53.7007532726931,0.177069744924923,0.460520613226137,0.742046457619294,0.555896292201143,0.0960728634931836,0.10233656952619,0.110628140241636,0.119589938181159,0.12889149594835,0.138566642998779,0.148086983345849,0.155827366264854,30.5,55.5,5.5,0.462814415158024,0.719637915429087,NaN,0.583824728791371,0.574427013762322,NaN
36,-0.553671061017255,0.0882224197681239,0.245761550405568,0.198203367287104,0.442820952332727,0.908106255423622,53.717828455048,0.17682605615318,0.459817573758325,0.741951333270438,0.555760243846346,0.0959501750734715,0.102253192213632,0.110586980347141,0.119547020457938,0.128841679575091,0.138582860991602,0.148233031423177,0.156005059917948,31.5,56.5,6.5,0.46803444055957,0.724177273769771,NaN,0.588225474912666,0.577165303675889,NaN
37,-0.548655631222894,0.0881186481356938,0.24551515404415,0.198001947783295,0.443084776664485,0.906205546170319,53.733448365218,0.176570213269447,0.459144911415199,0.741854104091315,0.555614363473392,0.0958456336788693,0.102156314104426,0.110533347634488,0.119541980821693,0.128837947096039,0.138575016770401,0.148299306811423,0.15621045308266,32.5,57.5,7.5,0.473271758104992,0.728766897490459,NaN,0.592518906488148,0.579789196367531,NaN
38,-0.543860012426304,0.088022397526214,0.245279787517491,0.197844132119346,0.443290596440637,0.904929828588623,53.7454385020241,0.176341067903818,0.458497421960753,0.741761584885782,0.555477901818847,0.095764951431047,0.102079180688299,0.110465601688564,0.119524014351315,0.128875655400138,0.138617402866385,0.148340567869204,0.156332625705048,33.5,58.5,8.5,0.478527009430763,0.733405750138784,NaN,0.59670594375983,0.582297856777976,NaN
39,-0.53919563220336,0.0879180323522651,0.245051078574627,0.197700479753326,0.443525207300768,0.907116559753327,53.7569244901973,0.176141045661908,0.457867040198994,0.741676748049494,0.555355681667001,0.0956830377553804,0.102017441997946,0.110408374941655,0.119479089537642,0.128886848466609,0.138690860536389,0.148421135373484,0.156413211390895,34.5,59.5,9.5,0.483789634212895,0.738091041694133,NaN,0.600838024219859,0.584741375475289,NaN
40,-0.534193902295481,0.0878045206578482,0.244806065282358,0.197539707574579,0.443790581539888,0.908611155414465,53.7700281606088,0.175940429878479,0.457193609573555,0.74158562687089,0.555216922869101,0.0955889153975445,0.101950792177034,0.110363911582747,0.119441341513944,0.128864457788843,0.138730954129198,0.148529817499672,0.156529809911018,35.5,60.5,10.5,0.48815731766817,0.742813875027117,NaN,0.604285654427126,0.587393676741307,NaN
41,-0.528948475117185,0.0876951281912013,0.244549377471973,0.19736557513529,0.44403556398128,0.909781111652031,53.7836473259536,0.175722553010113,0.456488593428049,0.741485918267248,0.555061615843057,0.0954894832580343,0.101876091877256,0.1103195171256,0.119423235208992,0.128856108548838,0.138741700182025,0.148610080860336,0.15668378293892,36.5,61.5,11.5,0.491660924865168,0.747578335227904,NaN,0.60698467653361,0.590202139939276,NaN
42,-0.523503413953591,0.0875884900148823,0.244283205167155,0.19719706439309,0.444249878490486,0.911731891459056,53.796018095099,0.17549964884905,0.455756442251013,0.741381654962897,0.554897712715889,0.0953978146037257,0.101799249789364,0.110270238977785,0.119409365761798,0.128873452376842,0.138772420924309,0.14866413261258,0.156813324953597,37.5,62.5,12.5,0.495160308376753,0.752386935447616,NaN,0.609817495022096,0.593142883218932,NaN
43,-0.517754038879315,0.0874733145583309,0.244002471448262,0.197033888260501,0.44447255206718,0.914318610176254,53.8080372900489,0.175283618206084,0.454981830836697,0.741273467047335,0.554728512198595,0.0953062633605296,0.101727624899971,0.110215344255136,0.11938665928462,0.128891556132563,0.138826719337413,0.148735212584896,0.156910620144871,38.5,63.5,13.5,0.498647586970697,0.757239967766297,NaN,0.612851201664391,0.596280216880119,NaN
44,-0.5116156693681,0.0873468761705197,0.243703099784972,0.196856553504964,0.444728324785099,0.917279813688498,53.8214608324292,0.175061804573213,0.454155650061023,0.741158703505608,0.554549890467215,0.0952029995290275,0.101653553975936,0.11016332465472,0.119354882835899,0.128896914219319,0.138878401847975,0.148827895227172,0.157022027709952,39.5,64.5,14.5,0.502118579844441,0.762138671443513,NaN,0.616139592584676,0.599667836758653,NaN
45,-0.505040784638941,0.0872131484229353,0.24338284643616,0.196659850333283,0.44500286460332,0.919537379726847,53.8362362636514,0.174820190728851,0.453272285959297,0.741035191646438,0.554355232453564,0.0950900718478226,0.10156977848546,0.110111694362444,0.119329525234334,0.12889606546662,0.13892023616332,0.148921958311286,0.157160670128714,40.5,65.5,15.5,0.505574231707587,0.762958390728788,0.0379017399650132,0.619714805091211,0.603480962171973,0.603718307535883
