year,scenario,share_25_39,share_40_59,share_60_79,share_80,average_age
2020,low_immigration,0.318865981332888,0.383868773685741,0.291250211022057,0.00601503395931418,49.5040238638905
2021,low_immigration,0.318615071764913,0.380497815555189,0.294699279238067,0.00618783344183064,49.593985729983
2022,low_immigration,0.318367541566906,0.377172247872283,0.298101905424053,0.0063583051367573,49.6827361570511
2023,low_immigration,0.318123319859017,0.373891163897355,0.301459019260572,0.00652649698305668,49.7702995239681
2024,low_immigration,0.317882352261119,0.370653671681837,0.304771522473296,0.00669245358374869,49.8566992647039
2025,low_immigration,0.317644554421043,0.367458921124121,0.308040303896572,0.00685622055826324,49.9419586805004
2026,low_immigration,0.316580213265747,0.368078518942014,0.308137188223776,0.0072040795684626,49.9855132778071
2027,low_immigration,0.315524927261584,0.368692844174087,0.308233252601537,0.00754897596279124,50.0286972312417
2028,low_immigration,0.314478593114607,0.369301962280767,0.308328498002175,0.00789094660245003,50.0715147176814
2029,low_immigration,0.313441104690573,0.369905927698373,0.308422937246679,0.00823003036437531,50.1139705321444
2030,low_immigration,0.312412335336828,0.370504818118217,0.308516583548434,0.00856626299652075,50.1560694813388
2031,low_immigration,0.310963804974185,0.37320016018657,0.307046179478853,0.00878985536039235,50.163430933939
2032,low_immigration,0.309525378438151,0.375876709434386,0.305586021831191,0.00901189029627286,50.170740964005
2033,low_immigration,0.308096944422718,0.37853466138116,0.304136011939847,0.00923238225627484,50.1780002425068
2034,low_immigration,0.306678398547389,0.381174214582167,0.302696040129217,0.00945134674122678,50.1852092423707
2035,low_immigration,0.305269634789146,0.383795555879553,0.301266007002827,0.00966880232847306,50.1923687740729
2036,low_immigration,0.304321352312548,0.386189646788926,0.299624044760655,0.00986495613787125,50.1991482738839
2037,low_immigration,0.303376507994497,0.388575058575837,0.297988034578721,0.0100603988509443,50.2059031189322
2038,low_immigration,0.302435082222799,0.390951839451784,0.296357943481029,0.0102551348443875,50.2126335837627
2039,low_immigration,0.301497058056274,0.393320033797623,0.294733740373827,0.0104491677722763,50.2193397672638
2040,low_immigration,0.300562411884276,0.395679682888375,0.293115405613411,0.0106424996139379,50.2260219382537
2041,low_immigration,0.299615108776062,0.396881253423214,0.292839527628303,0.0106641101724227,50.2402229264965
2042,low_immigration,0.298670773564314,0.398079075342869,0.292564498923649,0.0106856521691665,50.2543790922149
2043,low_immigration,0.297729370607867,0.399273163567456,0.292290338152342,0.0107071276723364,50.2684915994994
2044,low_immigration,0.296790899094337,0.400463545197137,0.292017019244716,0.0107285364638097,50.2825598678651
2045,low_immigration,0.295855331452418,0.401650226820198,0.291744562805735,0.0107498789216485,50.2965850026759
2046,low_immigration,0.293968271416313,0.40174528573375,0.293659021545883,0.0106274213040537,50.3526962269062
2047,low_immigration,0.292088132009952,0.401839989512885,0.295566465442634,0.0105054130345291,50.4086018520233
2048,low_immigration,0.290214870551677,0.401934347753327,0.297466930532547,0.0103838511624479,50.4643028828217
2049,low_immigration,0.288348446457025,0.40202836463203,0.299360455093752,0.0102627338171916,50.5198007205246
2050,low_immigration,0.286488839639993,0.402122035007058,0.301247067381081,0.0101420579718679,50.5750958013822
2051,low_immigration,0.285268421217712,0.400337712331049,0.304304388600118,0.01008947785112,50.6489084906279
2052,low_immigration,0.284053692663063,0.39856170183649,0.307347462215668,0.0100371432847789,50.7223772197109
2053,low_immigration,0.282844621256646,0.396793955396585,0.31037637238744,0.00998505095932911,50.7955039512566
2054,low_immigration,0.281641158502905,0.395034410172073,0.313391229988063,0.00993320133695836,50.8682913729775
