year,scenario,house_price_level,house_price_index
2020,low_immigration,3,1
2021,low_immigration,3,1
2022,low_immigration,3,1
2023,low_immigration,3,1
2024,low_immigration,3,1
2025,low_immigration,3,1
2026,low_immigration,3,1
2027,low_immigration,3,1
2028,low_immigration,3,1
2029,low_immigration,3,1
2030,low_immigration,3,1
2031,low_immigration,3,1
2032,low_immigration,3,1
2033,low_immigration,3,1
2034,low_immigration,3,1
2035,low_immigration,3,1
2036,low_immigration,3,1
2037,low_immigration,3,1
2038,low_immigration,3,1
2039,low_immigration,3,1
2040,low_immigration,3,1
2041,low_immigration,3,1
2042,low_immigration,3,1
2043,low_immigration,3,1
2044,low_immigration,3,1
2045,low_immigration,3,1
2046,low_immigration,3,1
2047,low_immigration,3,1
2048,low_immigration,3,1
2049,low_immigration,3,1
2050,low_immigration,3,1
2051,low_immigration,3,1
2052,low_immigration,3,1
2053,low_immigration,3,1
2054,low_immigration,3,1
2055,low_immigration,3,1
2056,low_immigration,3,1
2057,low_immigration,3,1
2058,low_immigration,3,1
2059,low_immigration,3,1
2060,low_immigration,3,1
2061,low_immigration,3,1
2062,low_immigration,3,1
2063,low_immigration,3,1
2064,low_immigration,3,1
2065,low_immigration,3,1
2066,low_immigration,3,1
2067,low_immigration,3,1
2068,low_immigration,3,1
2069,low_immigration,3,1
2070,low_immigration,3,1
2071,low_immigration,3,1
2072,low_immigration,3,1
2073,low_immigration,3,1
2074,low_immigration,3,1
2075,low_immigration,3,1
2076,low_immigration,3,1
2077,low_immigration,3,1
2078,low_immigration,3,1
2079,low_immigration,3,1
2080,low_immigration,3,1
2081,low_immigration,3,1
2082,low_immigration,3,1
2083,low_immigration,3,1
2084,low_immigration,3,1
2085,low_immigration,3,1
2086,low_immigration,3,1
2087,low_immigration,3,1
2088,low_immigration,3,1
2089,low_immigration,3,1
2090,low_immigration,3,1
2091,low_immigration,3,1
2092,low_immigration,3,1
2093,low_immigration,3,1
2094,low_immigration,3,1
2095,low_immigration,3,1
2096,low_immigration,3,1
2097,low_immigration,3,1
2098,low_immigration,3,1
2099,low_immigration,3,1
2100,low_immigration,3,1
2020,medium_immigration,3,1
2021,medium_immigration,3,1
2022,medium_immigration,3,1
2023,medium_immigration,3,1
2024,medium_immigration,3,1
2025,medium_immigration,3,1
2026,medium_immigration,3,1
2027,medium_immigration,3,1
2028,medium_immigration,3,1
2029,medium_immigration,3,1
2030,medium_immigration,3,1
2031,medium_immigration,3,1
2032,medium_immigration,3,1
2033,medium_immigration,3,1
2034,medium_immigration,3,1
2035,medium_immigration,3,1
2036,medium_immigration,3,1
2037,medium_immigration,3,1
2038,medium_immigration,3,1
2039,medium_immigration,3,1
2040,medium_immigration,3,1
2041,medium_immigration,3,1
2042,medium_immigration,3,1
2043,medium_immigration,3,1
2044,medium_immigration,3,1
2045,medium_immigration,3,1
2046,medium_immigration,3,1
2047,medium_immigration,3,1
2048,medium_immigration,3,1
2049,medium_immigration,3,1
2050,medium_immigration,3,1
2051,medium_immigration,3,1
2052,medium_immigration,3,1
2053,medium_immigration,3,1
2054,medium_immigration,3,1
2055,medium_immigration,3,1
2056,medium_immigration,3,1
2057,medium_immigration,3,1
2058,medium_immigration,3,1
2059,medium_immigration,3,1
2060,medium_immigration,3,1
2061,medium_immigration,3,1
2062,medium_immigration,3,1
2063,medium_immigration,3,1
2064,medium_immigration,3,1
2065,medium_immigration,3,1
