block,scenario,horizon,base_price_index,shock_price_index,price_gap,base_fertility_rate,shock_fertility_rate,fertility_gap
transition,stylized_transition,10,0.8091995127568873,0.8461628615599962,0.03696334880310892,0.22951525583456892,0.2274740651113837,-0.0020411907231852044
transition,stylized_transition,20,0.6057402798017476,0.6905317209463386,0.08479144114459103,0.24320101887719975,0.23691139725025862,-0.006289621626941133
transition,stylized_transition,40,0.5494564893340229,0.7605600952090029,0.21110360587498,0.24799105685946066,0.23237851592087613,-0.015612540938584524
transition,stylized_transition,79,0.7469594284770361,1.1923204904499098,0.44536106197287373,0.23321865055751537,0.21239489755871846,-0.020823752998796907
projection,low_immigration,2050,1.0671839381211963,1.1650048225237415,0.09782088440254522,0.19353526490064157,0.19031188642786792,-0.0032233784727736525
projection,low_immigration,2100,1.187748046693728,1.6825570150262281,0.4948089683325001,0.18951258773262383,0.1769969945598614,-0.012515593172762435
projection,medium_immigration,2050,1.0656924657762767,1.163130745966261,0.09743828018998424,0.1935952858278654,0.19037836649485645,-0.0032169193330089385
projection,medium_immigration,2100,1.2539508776768038,1.7670662929922032,0.5131154153153994,0.1875307586443868,0.17531882766383652,-0.01221193098055029
projection,high_immigration,2050,1.0646334189444484,1.1617941217207985,0.09716070277635014,0.19364056168962815,0.19042846768469576,-0.0032120940049323865
projection,high_immigration,2100,1.3234792602105743,1.8569039575756052,0.533424697365031,0.18557945747750945,0.17363669866146436,-0.01194275881604509
