shock_delta_theta0,scenario,year,base_price_index,shock_price_index,price_gap,base_fertility_rate,shock_fertility_rate,fertility_gap
0.03,low_immigration,2050,1.0671839381211963,1.1258369944054294,0.05865305628423312,0.19353526490064157,0.19156378455135595,-0.001971480349285626
0.03,low_immigration,2100,1.187748046693728,1.4844802466058022,0.2967321999120742,0.18951258773262383,0.18140949711010568,-0.008103090622518155
0.03,medium_immigration,2050,1.0656924657762767,1.1241162672422746,0.058423801465997904,0.1935952858278654,0.19162784081351597,-0.0019674450143494226
0.03,medium_immigration,2100,1.2539508776768038,1.5616747181162136,0.3077238404394098,0.1875307586443868,0.17963211049044897,-0.007898648153937843
0.03,high_immigration,2050,1.0646334189444484,1.1228908995358233,0.05825748059137492,0.19364056168962815,0.19167613108371542,-0.001964430605912726
0.03,high_immigration,2100,1.3234792602105743,1.6433960501175167,0.3199167899069424,0.18557945747750945,0.17786125089066937,-0.007718206586840082
0.05,low_immigration,2050,1.0671839381211963,1.1650048225237415,0.09782088440254522,0.19353526490064157,0.19031188642786792,-0.0032233784727736525
0.05,low_immigration,2100,1.187748046693728,1.6825570150262281,0.4948089683325001,0.18951258773262383,0.1769969945598614,-0.012515593172762435
0.05,medium_immigration,2050,1.0656924657762767,1.163130745966261,0.09743828018998424,0.1935952858278654,0.19037836649485645,-0.0032169193330089385
0.05,medium_immigration,2100,1.2539508776768038,1.7670662929922032,0.5131154153153994,0.1875307586443868,0.17531882766383652,-0.01221193098055029
0.05,high_immigration,2050,1.0646334189444484,1.1617941217207985,0.09716070277635014,0.19364056168962815,0.19042846768469576,-0.0032120940049323865
0.05,high_immigration,2100,1.3234792602105743,1.8569039575756052,0.533424697365031,0.18557945747750945,0.17363669866146436,-0.01194275881604509
0.08,low_immigration,2050,1.0671839381211963,1.2238488218915844,0.15666488377038812,0.19353526490064157,0.18851944200776946,-0.005015822892872113
0.08,low_immigration,2100,1.187748046693728,1.9799104285566804,0.7921623818629524,0.18951258773262383,0.17141105508303559,-0.018101532649588248
0.08,medium_immigration,2050,1.0656924657762767,1.2217440193212454,0.1560515535449687,0.1935952858278654,0.1885892105276835,-0.005006075300181906
0.08,medium_immigration,2100,1.2539508776768038,2.0753763110905097,0.8214254334137059,0.1875307586443868,0.16984766428506448,-0.017683094359322332
0.08,high_immigration,2050,1.0646334189444484,1.2202399947532327,0.15560657580878434,0.19364056168962815,0.1886417690757563,-0.004998792613871844
0.08,high_immigration,2100,1.3234792602105743,2.1773728852442304,0.8538936250336562,0.18557945747750945,0.16826926301749398,-0.01731019446001547
0.1,low_immigration,2050,1.0671839381211963,1.2631362906595625,0.19595235253836618,0.19353526490064157,0.18737716726517828,-0.006158097635463294
0.1,low_immigration,2100,1.187748046693728,2.178252564667853,0.990504517974125,0.18951258773262383,0.16821060103912594,-0.021301986693497893
0.1,medium_immigration,2050,1.0656924657762767,1.260877237269465,0.19518477149318825,0.1935952858278654,0.18744892249422807,-0.006146363333637328
0.1,medium_immigration,2100,1.2539508776768038,2.281013756138498,1.0270628784616944,0.1875307586443868,0.16670800382387232,-0.02082275482051449
0.1,high_immigration,2050,1.0646334189444484,1.2592612936195733,0.19462787467512488,0.19364056168962815,0.18750296590221874,-0.006137595787409411
0.1,high_immigration,2100,1.3234792602105743,2.3911068993749454,1.067627639164371,0.18557945747750945,0.16518506551039724,-0.020394391967112208
