t,price,births,fertility_rate,young_share,old_share,theta,average_age,n_home,young_homeownership_proxy,old_homeownership_proxy,aggregate_homeownership_proxy,age_share_15,age_share_25,age_share_35,age_share_45,age_share_55,age_share_65,age_share_75,age_share_85,boom_generation_age,boom_generation_homeownership_proxy_level,boom_generation_housing_burden_proxy_level,parent_generation_age,parent_generation_homeownership_proxy_level,parent_generation_housing_burden_proxy_level,child_generation_age,child_generation_homeownership_proxy_level,child_generation_housing_burden_proxy_level,price_index,case
0,0.0,0.0902,0.22,0.27,0.31999999999999995,0.4475,47.4,0.0,0.3862962962962963,0.7287999999999999,0.48629999999999995,0.14,0.13,0.14,0.14,0.13,0.12,0.11,0.09,0.0,,,25.0,0.35,1.0,-25.0,,,1.0,baseline
1,-0.02189162499999999,0.09109486443014736,0.22096534325113137,0.23003854207763044,0.35770285170910343,0.48742678522654853,50.09170181987396,0.0902,0.38680541391265033,0.7293123351476235,0.5181127100438933,0.09124659848461858,0.13879194359301186,0.13085085935682275,0.14091631007657837,0.14049143677986506,0.13019331735000456,0.11957148493217201,0.10793804942692685,1.0,,,26.0,0.35997033911409393,0.9834996541345108,-24.0,,,0.9783462575816758,baseline
2,-0.043821679892513475,0.0931861619065065,0.22193662814855358,0.18573352950212033,0.3943891267539159,0.5270901846532062,51.95942801520425,0.18129486443014736,0.39809340947252586,0.7308146622407462,0.5315589303114052,0.09372754174672537,0.09200598775539495,0.14208906978189043,0.13395933801958837,0.14382893594248503,0.1431061774704122,0.13194661596404295,0.11933633331946074,2.0,,,27.0,0.36990412932170313,0.9695643691349997,-23.0,,,0.9571246168211474,baseline
3,-0.06602929015820563,0.08475305885401094,0.22292455690647536,0.1923104399253991,0.4275023791281437,0.5559055752265195,53.290361385116015,0.18428102633665386,0.39350655354984565,0.7323489285431487,0.5379879247915267,0.09684799956254268,0.09546244036285641,0.09514334211416126,0.14693423011643747,0.13810960871585842,0.14798602062634697,0.14649872393663493,0.13301763456516177,3.0,,,28.0,0.37982466485846805,0.9507761884158118,-22.0,,,0.9361034452720582,baseline
4,-0.08629325509840796,0.07989483725600116,0.22382985724586238,0.19119830572916768,0.4518571908025486,0.5779917258629186,54.42734427640043,0.17793922076051744,0.3962203151941854,0.7308204083026364,0.5471693813062631,0.09019409776510567,0.10100420796406201,0.10108305294732955,0.10074516691544468,0.15511628360550947,0.1455063097669757,0.15512423747093895,0.15122664356463394,4.0,,,29.0,0.38942694252556537,0.9333911548159564,-21.0,,,0.9173251814856073,baseline
5,-0.10573403308944686,0.0737883437201143,0.22470183665564017,0.1835849434010427,0.48803169837480387,0.6116907870271671,55.05779756489857,0.1646478961100121,0.4009395177250979,0.7382383450720679,0.5466994083649306,0.08715859732321588,0.09642634607782681,0.10963622263067618,0.10972180585847505,0.10902532973500222,0.16752672617817407,0.15635420763203492,0.16415076456459488,5.0,,,30.0,0.39885811997252374,0.9162268356137627,-20.0,,,0.8996638970855978,baseline
6,-0.12393715241107747,0.07885307174749275,0.22552138244831413,0.17734776896508447,0.4730043577758706,0.599101756653521,55.452018349371414,0.15368318097611544,0.4031088462264878,0.7323889642815781,0.5468006957938134,0.08219779097333375,0.0951499779917507,0.10687870303669143,0.12152049473233255,0.12124867549002097,0.12023612950800618,0.1838199807001557,0.1689482475677087,6.0,,,31.0,0.40806098457191897,0.9004334862630589,-19.0,,,0.8834353609204851,baseline
7,-0.1444435666925179,0.08111212364246977,0.22644820871707783,0.17756310102568845,0.46424407377157195,0.5911852012405615,55.434987908036256,0.15264141546760704,0.4065543617952552,0.7328620676508837,0.5414912592564168,0.08783431168104847,0.08972878934463999,0.1054574726763245,0.11845675787912502,0.13427859464729017,0.13370812044111643,0.13192187163896946,0.19861408169148606,7.0,,,32.0,0.41749178344254134,0.8838046503396121,-18.0,,,0.8655037542644313,baseline
8,-0.166346209242413,0.08135082912970122,0.22744234738807975,0.19183878753902933,0.4504845086108554,0.5766602396189155,54.01391577477975,0.1599651953899625,0.4073234315900068,0.735097672732616,0.545794664115106,0.09307060713345794,0.09876818040557138,0.10244285273276696,0.12040020178424322,0.134833649333105,0.15253473673181164,0.15111959789064486,0.14683017398839893,8.0,,,33.0,0.42701849050879476,0.867311105500041,-17.0,,,0.8467530297123508,baseline
9,-0.18907189462698254,0.07916500747427131,0.22847845688020255,0.18705287310887292,0.46645928486329147,0.5917554254106314,54.74229887856819,0.162462952772171,0.41095512023483566,0.7353705671193324,0.5490712671307576,0.08818326490192424,0.09886960820694868,0.10652813506898359,0.11049151668033162,0.12946819027852055,0.14469638267483073,0.16286553033655332,0.15889737185190742,9.0,,,34.0,0.4365561792565614,0.8499193296636214,-16.0,,,0.8277269954319093,baseline
10,-0.2117097758181307,0.07934319523195038,0.22951525583456892,0.18231332080464785,0.4719876756871071,0.5974419099976992,55.09357894154635,0.16051583660397253,0.4148539040737799,0.7364347262581855,0.5475024405651532,0.08716290516875624,0.09515041563589159,0.10831393498674342,0.11670402771263305,0.1206810408088685,0.14112264638302352,0.15692507487181867,0.17393995443226493,10.0,,,35.0,0.4459820198602021,0.8323593395293069,-15.0,,,0.8091995127568873,baseline
11,-0.2351191393170968,0.08210846642969401,0.230592336454762,0.18436496275094005,0.4595587352692576,0.5859481173296909,54.814076100726474,0.15850820270622168,0.417503539593178,0.7351769518152153,0.5471894053779659,0.08878279246409926,0.09558217028684081,0.10593827210613783,0.1205942301021734,0.1295437997714911,0.13368828632967658,0.15554356804440417,0.17032688089517686,11.0,,,36.0,0.4540903577659789,0.812266685809005,-14.0,,,0.7904766671681226,baseline
12,-0.2603757080358826,0.08243413983617393,0.23176007752337213,0.18789234155127807,0.45642025655845997,0.5825943796699222,54.54640789172557,0.16145166166164437,0.42062042376064007,0.7361947064313614,0.5477283387745729,0.09122488842498572,0.09666745312629235,0.10566359150264543,0.1171119914386391,0.1329118189489774,0.14248765081391054,0.1463035913522514,0.16762901439229802,12.0,,,37.0,0.46224220722978254,0.7918495901173607,-13.0,,,0.7707619499393676,baseline
13,-0.2866741889387031,0.0819004756392466,0.23298227649795242,0.19025575142410153,0.4582133215443464,0.5838536266762966,54.364305751920355,0.16454260626586792,0.42385500682030003,0.7374465795022629,0.550068734459675,0.09127134792154404,0.0989844035025575,0.10649536612732541,0.11640611704852896,0.12862944385569772,0.14568879453759373,0.15539634886878764,0.15712817813796504,13.0,,,38.0,0.4703233763056261,0.7711403381676004,-12.0,,,0.7507562936987613,baseline
14,-0.313743653039161,0.08209631569951846,0.23424703812463463,0.18770390894434688,0.4618271316324058,0.5874888321275131,54.645857466270094,0.16433461547542053,0.4278345086969646,0.7376160517011383,0.550781797764806,0.08971907041362391,0.09798483853072297,0.10789173878892164,0.11607859236271598,0.1264986282716098,0.1394999101052129,0.15720296087255886,0.16512426065463404,14.0,,,39.0,0.47828952848574396,0.7499901885472288,-11.0,,,0.7307063184967574,baseline
15,-0.3418399743611829,0.08328023963404602,0.23556703937957552,0.1878381919911584,0.45863085625351435,0.5845920418294891,54.59131064001582,0.16399679133876505,0.4316944391852138,0.7379800654103104,0.5504210487117993,0.09069951996167214,0.09713867202948626,0.10771179990016415,0.11860215879897884,0.1272169930561844,0.13835738077477686,0.1518068886749535,0.16846658680378396,15.0,0.020337766038515257,0.7104618877302749,40.0,0.48615636248082106,0.7286578557927229,-10.0,,,0.7104618877302749,baseline
16,-0.3714857923034981,0.08435194451030838,0.23696790376521648,0.19063340815865726,0.45340300702657066,0.5794676951001151,54.33575257284136,0.1653765553335645,0.4353474599028318,0.7383523205761505,0.551341998535908,0.09221342888195941,0.09841997927669786,0.10702061634211472,0.11866935147244945,0.13027361700020784,0.1394544977461578,0.1509005307886502,0.16304797849176264,16.0,0.054992233934753616,0.6902219551789824,41.0,0.4939634776926622,0.7070158763122064,-9.0,,,0.6897088049328919,baseline
17,-0.40281136177128785,0.0844528033983515,0.2384571950898825,0.19209376314911117,0.45374286859304114,0.5795545172613703,54.25195009081905,0.16763218414435438,0.43949352174510264,0.7392595794906147,0.552691645548619,0.09273912540286033,0.09935463774625083,0.10766492626826528,0.11707345248736654,0.1294249895022159,0.14179455802786073,0.15102076076740528,0.1609275497977751,17.0,0.0912030413025847,0.6694461396352921,42.0,0.5017041981055406,0.6849424015257827,-8.0,,,0.6684381804256876,baseline
18,-0.43549459772632315,0.08479971752027615,0.2400210111330231,0.1923089928878624,0.45438978102373107,0.5801044539881786,54.250119378707275,0.16880474790865987,0.44394507838495667,0.739980474424978,0.5538609090113673,0.09262745465777944,0.09968153823008297,0.10842686090211291,0.11749597451444538,0.1273783906718483,0.14053321850373,0.15318683855296852,0.16066972396703255,18.0,0.12917164446126464,0.6484177915187607,43.0,0.5093271063209993,0.6625453962510189,-7.0,,,0.6469446106014959,baseline
